Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,0,0
80,-0.07739226,0,0
81,-0.07239276,0,0
82,-0.06739326,0,0
83,-0.06239376,2,0.107526882
84,-0.05739426,10,0.537634409
85,-0.05239476,30,1.612903226
86,-0.04739526,72,3.870967742
87,-0.04239576,225,12.09677419
88,-0.03739626,439,23.60215054
89,-0.03239676,1010,54.30107527
90,-0.02739726,1752,94.19354839
91,-0.02239776,3062,164.6236559
92,-0.01739826,4430,238.172043
93,-0.01239876,6063,325.9677419
94,-0.00739926,7441,400.0537634
95,-0.00239976,8261,444.1397849
96,0.00259974,8132,437.2043011
97,0.00759924,7297,392.311828
98,0.01259874,5891,316.7204301
99,0.01759824,4372,235.0537634
100,0.02259774,2981,160.2688172
101,0.02759724,1766,94.94623656
102,0.03259674,1003,53.92473118
103,0.03759624,493,26.50537634
104,0.04259574,233,12.52688172
105,0.04759524,89,4.784946237
106,0.05259474,36,1.935483871
107,0.05759424,10,0.537634409
108,0.06259374,4,0.215053763
109,0.06759324,0,0
110,0.07259274,0,0
111,0.07759224,0,0
112,0.08259174,25.1333292,1.351254258
113,0.08759124,20.54235585,1.104427734
114,0.09259074,10.26967063,0.552132829
115,0.09759024,12.5019739,0.672149135
116,0.10258974,7.261191043,0.390386615
117,0.10758924,15.81693217,0.850372697
118,0.11258874,16.87103716,0.907045009
119,0.11758824,16.20054184,0.870996873
120,0.12258774,8.525145063,0.458341132
121,0.12758724,10.14996182,0.545696872
122,0.13258674,3.512182667,0.188827025
123,0.13758624,10.69012711,0.574738016
124,0.14258574,7.385553312,0.397072759
125,0.14758524,2.723953125,0.146449093
126,0.15258474,2.150777894,0.11563322
127,0.15758424,8.638765927,0.464449781
128,0.16258374,16.44348916,0.884058557
129,0.16758324,10.73038056,0.576902181
130,0.17258274,7.262523161,0.390458234
131,0.17758224,8.943904824,0.480855098
132,0.18258174,6.907635099,0.371378231
133,0.18758124,15.24796288,0.819782951
134,0.19258074,25.0075993,1.344494586
135,0.19758024,20.75283983,1.115744077
136,0.20257974,22.33047398,1.200563117
137,0.20757924,15.83808278,0.851509827
138,0.21257874,17.703433,0.951797473
139,0.21757824,24.49921934,1.31716233
140,0.22257774,31.51769887,1.694499939
141,0.22757724,49.8475417,2.67997536
142,0.23257674,66.44843135,3.572496309
143,0.23757624,94.65600315,5.089032427
144,0.24257574,132.7937491,7.139448879
145,0.24757524,162.3019516,8.725911374
146,0.25257474,232.4656886,12.4981553
147,0.25757424,304.8692727,16.39082111
148,0.26257374,383.3003162,20.60754388
149,0.26757324,449.8517488,24.18557789
150,0.27257274,464.4865089,24.97239295
151,0.27757224,457.0950798,24.57500429
152,0.28257174,429.3490203,23.08328066
153,0.28757124,389.9398933,20.96451039
154,0.29257074,304.0503748,16.34679435
155,0.29757024,270.9437864,14.56687024
156,0.30256974,211.8042897,11.3873274
157,0.30756924,151.7603914,8.159160827
158,0.31256874,108.0573767,5.809536383
159,0.31756824,79.45112157,4.271565676
160,0.32256774,69.31588087,3.726660262
161,0.32756724,56.14643386,3.018625477
162,0.33256674,57.08013467,3.068824444
163,0.33756624,49.38015481,2.654847033
164,0.34256574,63.60707504,3.419735217
165,0.34756524,78.12146072,4.200078533
166,0.35256474,97.30359247,5.231375939
167,0.35756424,131.2487531,7.056384578
168,0.36256374,173.1421865,9.308719704
169,0.36756324,206.6240078,11.10881762
170,0.37256274,255.274097,13.72441382
171,0.37756224,300.5737572,16.15987942
172,0.38256174,331.7153015,17.834156
173,0.38756124,350.6505834,18.8521819
174,0.39256074,378.6462434,20.35732491
175,0.39756024,391.8439069,21.06687672
176,0.40255974,387.578,20.83752688
177,0.40755924,380.9441495,20.48086825
178,0.41255874,379.4092597,20.3983473
179,0.41755824,378.7314647,20.36190671
180,0.42255774,366.2139531,19.68892221
181,0.42755724,366.119254,19.68383086
182,0.43255674,365.1068374,19.62939986
183,0.43755624,373.3030617,20.07005708
184,0.44255574,378.6049681,20.35510581
185,0.44755524,366.2249413,19.68951297
186,0.45255474,386.3974935,20.77405879
187,0.45755424,386.3679173,20.77246867
188,0.46255374,357.4391256,19.21715729
189,0.46755324,334.3561659,17.97613795
190,0.47255274,332.6124782,17.8823913
191,0.47755224,329.6467468,17.72294338
192,0.48255174,395.1780232,21.24613028
193,0.48755124,488.5911493,26.26834136
194,0.49255074,560.315859,30.12450855
195,0.49755024,721.4166105,38.78583927
196,0.50254974,905.0149342,48.65671689
197,0.50754924,991.1458657,53.28741213
198,0.51254874,1220.28674,65.60681398
199,0.51754824,1306.004701,70.2153065
200,0.52254774,1342.803229,72.19372198
201,0.52754724,1274.238639,68.50745373
202,0.53254674,1196.176154,64.31054591
203,0.53754624,1080.827044,58.10898088
204,0.54254574,917.7612376,49.34200202
205,0.54754524,719.3400164,38.67419443
206,0.55254474,588.4473068,31.63695198
207,0.55754424,403.4548895,21.69112309
208,0.56254374,297.269737,15.98224392
209,0.56754324,193.522387,10.40442941
210,0.57254274,123.8429234,6.658221686
211,0.57754224,79.67620644,4.283667013
212,0.58254174,42.51787451,2.285907232
213,0.58754124,33.03410261,1.776027022
214,0.59254074,16.14305365,0.86790611
215,0.59754024,22.98090053,1.235532287
216,0.60253974,20.90919442,1.124150237
217,0.60753924,18.2530658,0.981347624
218,0.61253874,9.264905696,0.498113209
219,0.61753824,9.093928212,0.488920872
220,0.62253774,12.84037707,0.690342853
221,0.62753724,8.916352037,0.479373765
222,0.63253674,11.91933083,0.640824238
223,0.63753624,6.850559081,0.368309628
224,0.64253574,18.94484312,1.018539953
225,0.64753524,11.15317121,0.599632861
226,0.65253474,19.42925574,1.044583642
227,0.65753424,22.39578469,1.204074446
228,0.66253374,18.02139118,0.968891999
229,0.66753324,20.83808062,1.120326915
230,0.67253274,22.46994892,1.20806177
231,0.67753224,10.60348158,0.570079655
232,0.68253174,21.76763813,1.170303125
233,0.68753124,21.25600154,1.142795782
234,0.69253074,20.40739482,1.097171764
235,0.69753024,22.99185252,1.236121103
236,0.70252974,22.69235107,1.220018874
237,0.70752924,17.31781119,0.931065118
238,0.71252874,34.68879908,1.864989198
239,0.71752824,25.75120506,1.38447339
240,0.72252774,22.78665332,1.225088888
241,0.72752724,32.4318207,1.743646274
242,0.73252674,28.11849231,1.511746899
243,0.73752624,23.46624385,1.261626013
244,0.74252574,21.68749238,1.165994214
245,0.74752524,33.75847427,1.814971735
246,0.75252474,27.70940001,1.489752688
247,0.75752424,31.70780292,1.704720587
248,0.76252374,35.41439657,1.903999815
249,0.76752324,35.61032559,1.914533634
250,0.77252274,24.45656394,1.314869029
251,0.77752224,18.01303389,0.968442682
252,0.78252174,33.50225497,1.801196504
253,0.78752124,37.86038114,2.035504362
254,0.79252074,32.52119307,1.74845124
255,0.79752024,32.10062873,1.725840254
256,0.80251974,45.50247076,2.446369396
257,0.80751924,30.08512173,1.617479663
258,0.81251874,40.24609599,2.163768602
