Angle,Observed,Calculated,Background,SiO2_nb,Dolomite_nb,Hydroxyapatite_nb,SiO2,Dolomite,Hydroxyapatite
4.0028,2111,2171.12,2170.37,0.74,0.01,0,2171.11,2170.38,2170.37
4.053,2093,2134.7,2133.94,0.74,0.01,0,2134.68,2133.95,2133.94
4.1031,2089,2106.1,2105.33,0.75,0.01,0,2106.08,2105.34,2105.33
4.1533,2109,2083.6,2082.84,0.75,0.01,0,2083.59,2082.85,2082.84
4.2034,2089,2065.98,2065.21,0.76,0.01,0,2065.97,2065.22,2065.21
4.2535,2042,2052.08,2051.3,0.76,0.01,0,2052.06,2051.31,2051.3
4.3037,2106,2041.03,2040.25,0.77,0.01,0,2041.02,2040.26,2040.25
4.3538,2062,2032.06,2031.28,0.77,0.02,0,2032.05,2031.3,2031.28
4.4039,2039,2024.58,2023.79,0.77,0.02,0,2024.56,2023.81,2023.79
4.4541,2036,2018.09,2017.3,0.78,0.02,0,2018.08,2017.32,2017.3
4.5042,2012,2012.19,2011.39,0.78,0.02,0,2012.17,2011.41,2011.39
4.5544,2098,2006.55,2005.75,0.79,0.02,0,2006.54,2005.77,2005.75
4.6045,2080,2000.93,2000.13,0.79,0.02,0,2000.92,2000.15,2000.13
4.6546,2073,1995.14,1994.33,0.8,0.02,0,1995.13,1994.35,1994.33
4.7048,1957,1989.04,1988.22,0.8,0.02,0,1989.02,1988.24,1988.22
4.7549,2003,1982.51,1981.68,0.81,0.02,0,1982.49,1981.7,1981.68
4.805,2001,1975.49,1974.66,0.81,0.02,0,1975.47,1974.68,1974.66
4.8552,1906,1967.92,1967.09,0.82,0.02,0,1967.91,1967.11,1967.09
4.9053,1978,1959.8,1958.96,0.82,0.02,0,1959.78,1958.98,1958.96
4.9554,1901,1951.1,1950.26,0.83,0.02,0,1951.09,1950.28,1950.26
5.0056,1940,1941.85,1941.01,0.83,0.02,0,1941.84,1941.03,1941.01
5.0557,1929,1932.05,1931.2,0.84,0.02,0,1932.04,1931.22,1931.2
5.1059,1878,1921.74,1920.88,0.84,0.02,0,1921.72,1920.9,1920.88
5.156,1865,1910.95,1910.09,0.85,0.02,0,1910.94,1910.11,1910.09
5.2061,1834,1899.71,1898.84,0.85,0.02,0,1899.69,1898.86,1898.84
5.2563,1835,1888.07,1887.19,0.85,0.02,0,1888.04,1887.21,1887.19
5.3064,1857,1876.06,1875.18,0.86,0.02,0,1876.04,1875.2,1875.18
5.3565,1805,1863.74,1862.86,0.86,0.02,0,1863.72,1862.88,1862.86
5.4067,1749,1851.14,1850.26,0.87,0.02,0,1851.13,1850.28,1850.26
5.4568,1820,1838.31,1837.42,0.87,0.02,0,1838.29,1837.44,1837.42
5.507,1751,1825.29,1824.4,0.88,0.02,0,1825.28,1824.42,1824.4
5.5571,1731,1812.12,1811.22,0.88,0.02,0,1812.1,1811.24,1811.22
