Baseline,Background,SiO2,Dolomite,Observed,Difference
4.0028,2081.38,2081.99,2081.42,2035,-47.03
4.053,2026.1,2026.72,2026.14,1955,-71.76
4.1031,1982.22,1982.84,1982.26,1922,-60.88
4.1533,1947.54,1948.16,1947.58,2011,62.79
4.2034,1920.34,1920.97,1920.38,1988,66.98
4.2535,1899.09,1899.72,1899.13,1930,30.23
4.3037,1882.56,1883.2,1882.6,1974,90.76
4.3538,1869.67,1870.31,1869.71,1884,13.64
4.4039,1859.57,1860.21,1859.61,1870,9.75
4.4541,1851.52,1852.17,1851.56,1930,77.79
4.5042,1844.92,1845.57,1844.97,1884,38.38
4.5544,1839.31,1839.97,1839.36,1820,-20.01
4.6045,1834.26,1834.92,1834.31,1889,54.03
4.6546,1829.49,1830.15,1829.54,1767,-63.19
4.7048,1824.72,1825.39,1824.77,1770,-55.43
4.7549,1819.77,1820.44,1819.82,1835,14.51
4.805,1814.49,1815.16,1814.54,1804,-11.21
4.8552,1808.77,1809.45,1808.82,1826,16.5
4.9053,1802.54,1803.22,1802.59,1742,-61.27
4.9554,1795.74,1796.43,1795.79,1782,-14.48
5.0056,1788.36,1789.05,1788.41,1798,8.91
5.0557,1780.37,1781.06,1780.42,1804,22.89
5.1059,1771.78,1772.48,1771.83,1789,16.47
5.156,1762.61,1763.31,1762.66,1693,-70.36
5.2061,1752.89,1753.6,1752.94,1756,2.36
5.2563,1742.64,1743.35,1742.69,1660,-83.4
5.3064,1731.91,1732.62,1731.96,1689,-43.67
5.3565,1720.73,1721.45,1720.78,1690,-31.5
5.4067,1709.14,1709.86,1709.19,1634,-75.91
5.4568,1697.19,1697.92,1697.24,1631,-66.97
5.507,1684.93,1685.66,1684.98,1661,-24.71
5.5571,1672.39,1673.13,1672.44,1760,86.82
5.6072,1659.62,1660.36,1659.67,1625,-35.41
5.6574,1646.66,1647.4,1646.71,1638,-9.46
5.7075,1633.56,1634.31,1633.61,1699,64.64
5.7576,1620.34,1621.09,1620.39,1616,-5.14
5.8078,1607.05,1607.81,1607.1,1611,3.14
5.8579,1593.72,1594.48,1593.77,1611,16.47
5.9081,1580.38,1581.15,1580.43,1594,12.81
5.9582,1567.06,1567.83,1567.11,1526,-41.88
6.0083,1553.79,1554.56,1553.84,1616,61.39
6.0585,1540.59,1541.37,1540.64,1574,32.58
6.1086,1527.49,1528.27,1527.54,1517,-11.33
6.1587,1514.51,1515.3,1514.56,1571,55.65
6.2089,1501.66,1502.45,1501.71,1472,-30.51
6.259,1488.96,1489.76,1489.01,1525,35.19
6.3092,1476.43,1477.23,1476.48,1437,-40.29
6.3593,1464.08,1464.89,1464.13,1475,10.06
6.4094,1451.92,1452.73,1451.97,1501,48.21
6.4596,1439.96,1440.77,1440.01,1474,33.17
6.5097,1428.2,1429.02,1428.25,1429,-0.08
6.5598,1416.66,1417.48,1416.71,1385,-32.54
6.61,1405.34,1406.17,1405.39,1506,99.78
6.6601,1394.24,1395.07,1394.29,1407,11.87
6.7102,1383.36,1384.2,1383.42,1450,65.74
6.7604,1372.71,1373.55,1372.77,1428,54.39
6.8105,1362.29,1363.14,1362.35,1326,-37.2
6.8607,1352.1,1352.95,1352.16,1341,-12.01
6.9108,1342.13,1342.99,1342.19,1354,10.96
6.9609,1332.38,1333.24,1332.44,1325,-8.3
7.0111,1322.86,1323.73,1322.92,1341,17.21
7.0612,1313.56,1314.43,1313.62,1318,3.51
7.1113,1304.47,1305.35,1304.53,1219,-86.41
7.1615,1295.59,1296.47,1295.65,1325,28.46
7.2116,1286.93,1287.82,1286.99,1293,5.13
7.2618,1278.46,1279.35,1278.52,1375,95.59
7.3119,1270.19,1271.09,1270.25,1300,28.85
7.362,1262.12,1263.02,1262.18,1302,38.92
7.4122,1254.23,1255.14,1254.29,1265,9.81
7.4623,1246.52,1247.44,1246.58,1200,-47.49
7.5124,1238.99,1239.91,1239.05,1241,1.03
7.5626,1231.62,1232.55,1231.68,1248,15.39
7.6127,1224.43,1225.36,1224.49,1244,18.58
7.6629,1217.39,1218.33,1217.45,1259,40.62
7.713,1210.5,1211.44,1210.56,1186,-25.5
7.7631,1203.76,1204.71,1203.82,1146,-58.77
7.8133,1197.16,1198.11,1197.22,1130,-68.17
7.8634,1190.69,1191.65,1190.75,1190,-1.71
7.9135,1184.35,1185.32,1184.41,1205,19.62
7.9637,1178.14,1179.11,1178.2,1128,-51.17
8.0138,1172.04,1173.02,1172.1,1213,39.92
8.064,1166.06,1167.04,1166.12,1133,-34.1
8.1141,1160.18,1161.17,1160.24,1210,48.77
8.1642,1154.41,1155.4,1154.47,1227,71.54
8.2144,1148.73,1149.73,1148.79,1164,14.21
8.2645,1143.14,1144.14,1143.2,1175,30.79
8.3146,1137.64,1138.65,1137.7,1171,32.29
8.3648,1132.22,1133.24,1132.28,1128,-5.3
8.4149,1126.88,1127.9,1126.94,1104,-23.97
8.465,1121.61,1122.64,1121.67,1075,-47.7
8.5152,1116.41,1117.44,1116.47,1059,-58.51
8.5653,1111.28,1112.32,1111.34,1117,4.62
8.6155,1106.21,1107.26,1106.27,1116,8.68
8.6656,1101.19,1102.24,1101.26,1076,-26.31
8.7157,1096.23,1097.29,1096.3,1087,-10.36
8.7659,1091.32,1092.38,1091.39,1119,26.55
8.816,1086.46,1087.53,1086.53,1065,-22.6
8.8661,1081.64,1082.72,1081.71,1100,17.22
8.9163,1076.86,1077.94,1076.93,1041,-37.01
8.9664,1072.12,1073.21,1072.19,1133,59.72
9.0166,1067.42,1068.52,1067.49,1078,9.41
9.0667,1062.75,1063.85,1062.82,1092,28.07
9.1168,1058.12,1059.23,1058.19,1026,-33.29
9.167,1053.51,1054.63,1053.58,1085,30.31
9.2171,1048.93,1050.05,1049,1048,-2.12
9.2672,1044.37,1045.5,1044.44,1027,-18.57
