"Formation/Type","Al2O3_mean","Al2O3_sd","Al2O3_count","SiO2_mean","SiO2_sd","SiO2_count","P2O5_mean","P2O5_sd","P2O5_count","S_mean","S_sd","S_count","Cl_mean","Cl_sd","Cl_count","K2O_mean","K2O_sd","K2O_count","CaO_mean","CaO_sd","CaO_count","TiO2_mean","TiO2_sd","TiO2_count","Fe2O3_mean","Fe2O3_sd","Fe2O3_count","Cu_mean","Cu_sd","Cu_count","Sr_mean","Sr_sd","Sr_count","Zr_mean","Zr_sd","Zr_count"
"TW",0.8461,0.8468,3,92.156,13.5862,3,0.0428,0.0232,3,0.0492,0.0298,3,0.0962,0.0526,3,0.1141,0.0708,3,1.2079,1.9073,3,0.02,0.0115,3,0.2344,0.2015,3,9e-04,2e-04,3,0,0,0,0,0,0
"LJW",0.438,0.4561,30,92.4101,14.6539,43,0.0947,0.0803,43,0.1622,0.2726,41,2.783,7.3554,43,0.1334,0.0528,43,0.5628,0.7643,40,0.0314,0.0133,43,0.2552,0.1439,43,0.0011,3e-04,43,0.0046,0.0085,35,5e-04,4e-04,30
"MJE",0.5706,0.6052,12,96.3967,5.1794,17,0.0337,0.0107,17,0.0335,0.0298,13,0.0581,0.0322,17,0.1181,0.0359,17,0.1847,0.3089,17,0.0252,0.0095,17,0.2736,0.1253,17,0.0011,2e-04,17,0.0039,0.0025,17,1e-04,3e-04,5
"UJW",0,0,0,97.7307,1.3996,5,0.075,0.0125,5,0.0618,0.0112,5,0.0502,0.043,4,0.0826,0.0169,5,6.5078,1.1184,5,0.019,0.0026,5,0.1615,0.031,5,0.001,3e-04,5,0.002,5e-04,5,3e-04,2e-04,4
"UJE",0.3611,0.304,4,88.683,17.0945,6,0.0419,0.0193,6,0.0325,0.0238,5,0.0517,0.0284,5,0.0959,0.0502,6,1.7366,2.9108,6,0.0234,0.0124,5,0.3354,0.3479,6,0.001,0,6,0.0029,0.0022,6,1e-04,2e-04,2
"CPT",0.2469,0.6188,7,93.9819,10.1905,24,0.0302,0.0099,24,0.0279,0.0247,18,0.0457,0.0323,23,0.0626,0.027,24,0.0253,0.0326,14,0.0118,0.0049,24,0.1057,0.0263,24,9e-04,3e-04,23,1e-04,3e-04,4,2e-04,4e-04,5
"UCA",2.0317,2.0225,11,96.3124,7.1155,13,0.0798,0.0987,13,0.0521,0.0159,13,0.0765,0.0596,11,0.2266,0.1566,13,0.378,0.3922,13,0.0387,0.0325,13,0.2777,0.332,13,0.001,2e-04,13,0.0025,0.0022,11,2e-04,3e-04,6
"T1",0.7061,0.527,4,90.315,4.844,5,0.0626,0.041,5,0.0328,0.0119,5,0.0214,0.0124,4,0.1232,0.0736,5,0.91,1.6649,5,0.0257,0.0259,5,0.2421,0.182,5,0.0011,2e-04,5,2e-04,5e-04,1,3e-04,8e-04,1
"T2-5",1.2821,0.7894,30,96.2157,6.6604,31,0.0556,0.0232,31,0.0559,0.019,30,0.0676,0.0412,29,0.1764,0.0772,31,0.8887,1.9129,31,0.0349,0.0158,31,0.2199,0.0753,31,0.0011,2e-04,31,0.0014,0.0034,17,4e-04,5e-04,17
"T6",0.6677,0.5839,11,97.3485,3.9957,14,0.0402,0.0131,14,0.0493,0.0146,14,0.0512,0.0414,12,0.0913,0.0351,14,0.2369,0.614,14,0.0166,0.0076,14,0.1122,0.0214,14,9e-04,2e-04,14,1e-04,2e-04,3,2e-04,3e-04,4
"T7",0.8437,0.3796,7,95.2089,8.7677,7,0.0543,0.0435,7,0.0633,0.0151,7,0.0545,0.0872,6,0.1515,0.0823,7,1.2407,2.5645,7,0.0339,0.0241,7,0.1847,0.0816,7,0.001,2e-04,7,5e-04,4e-04,5,2e-04,4e-04,2
"T8",0.3802,0.4638,3,90.6643,11.6026,6,0.0496,0.0344,6,0.0479,0.0255,6,0.026,0.0226,4,0.0789,0.0353,6,0.8721,1.9858,6,0.0177,0.0065,6,0.0988,0.0326,6,9e-04,1e-04,6,0,0,0,8e-04,3e-04,6
"T9",2.882,1.3415,3,94.0665,4.8437,3,0.097,0.0293,3,0.0834,0.0386,3,0.0225,0.0195,2,0.4025,0.128,3,2.8606,1.8187,3,0.0762,0.027,3,0.391,0.1763,3,0.001,3e-04,3,0.001,4e-04,3,0,0,0
"T10",2.3793,0.4048,3,86.822,13.552,3,0.123,0.0678,3,0.0462,0.0244,3,0.0125,0.0217,1,0.339,0.1067,3,5.4725,4.558,3,0.0561,0.0223,3,0.4667,0.2631,3,0.001,9e-04,2,0.0014,4e-04,3,5e-04,5e-04,2
"T11",3.6564,2.1847,2,87.8303,0.9467,2,0.0354,0.0049,2,0.0226,0.0046,2,0.0631,0.0488,2,0.5542,0.3012,2,0.1718,0.1782,2,0.1946,0.0361,2,0.4553,0.0559,2,0.0042,0.0012,2,0.0016,6e-04,2,0.0058,8e-04,2
