Sample_ID,pXRF_ID,Formation/Type,Application,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,TiO2,TiO2 Err,V,V Err,Cr,Cr Err,MnO,MnO Err,Fe2O3,Fe2O3 Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
RM_ID12.3,88,CPT,GeoChem,DualMining,180,< LOD,0.7211,< LOD,0.1754,100,0.6813,0.0262,0.0101,0.0477,0.0078,0.0199,0.0146,0.0511,0.0053,0.0066,0.0045,0.0092,0.0037,0,0,< LOD,0.0017,< LOD,0.0052,0.1048,0.0049,< LOD,0.0015,< LOD,0.0006,0.0009,0.0005,< LOD,0.0001,0,0,< LOD,0.0003,0,0,< LOD,0.0003,< LOD,0.0003,0.0009,0.0003,0,0,< LOD,0.0002,0,0,0,0,0,0,< LOD,0.0019,0,0,< LOD,0.0132,< LOD,0.0178,< LOD,0.0062,< LOD,0.002,< LOD,0.0092,< LOD,0.0041,< LOD,0.0015,< LOD,0.0006,< LOD,0.003,< LOD,0.0005,< LOD,0.0011,< LOD,0.0005,< LOD,0.0018,< LOD,0.0007,Passed
RM_ID12.3,89,CPT,GeoChem,DualMining,180,0.8618,0.6967,< LOD,0.161,91.4961,0.6089,0.0181,0.0105,0.0094,0.0073,0.0333,0.0156,0.0601,0.0052,< LOD,0.0045,0.0125,0.0036,0.0013,0.0003,< LOD,0.0017,< LOD,0.0048,0.0897,0.0046,< LOD,0.0014,< LOD,0.0007,0.0013,0.0005,< LOD,0.0001,< LOD,0.0005,< LOD,0.0002,< LOD,0.0001,< LOD,0.0004,< LOD,0.0003,0.0011,0.0005,0,0,< LOD,0.0005,< LOD,0.0006,0,0,< LOD,0.0004,< LOD,0.0038,0,0,< LOD,0.0148,< LOD,0.0134,< LOD,0.0068,< LOD,0.0019,< LOD,0.0049,< LOD,0.0042,< LOD,0.0013,< LOD,0.0006,< LOD,0.003,< LOD,0.0004,< LOD,0.0011,< LOD,0.0014,< LOD,0.0018,< LOD,0.0016,Passed
LE1_ID06.1,90,CPT,GeoChem,DualMining,180,0.774,0.7256,0.3216,0.1768,96.5212,0.6417,0.0271,0.0114,0.019,0.0077,0.0241,0.0156,0.0766,0.0057,0.0062,0.0047,0.0134,0.0037,0.0005,0.0001,< LOD,0.0017,< LOD,0.0049,0.166,0.006,< LOD,0.0016,< LOD,0.0007,0.0009,0.0005,< LOD,0.0001,0,0,< LOD,0.0003,0,0,< LOD,0.0004,0.0004,0.0003,< LOD,0.0004,0,0,< LOD,0.0003,0,0,0,0,< LOD,0.0001,< LOD,0.0028,0,0,< LOD,0.0136,< LOD,0.0129,< LOD,0.0066,< LOD,0.002,< LOD,0.0091,< LOD,0.0043,< LOD,0.0014,< LOD,0.0006,< LOD,0.003,< LOD,0.0004,< LOD,0.0011,< LOD,0.001,< LOD,0.0018,< LOD,0.0011,Passed
RT251,91,CPT,GeoChem,DualMining,180,1.2764,0.7156,< LOD,0.1604,92.448,0.615,0.02,0.0106,< LOD,0.0072,0.0269,0.0158,0.0546,0.0051,< LOD,0.0042,0.0081,0.0036,0.0016,0.0003,< LOD,0.0017,< LOD,0.0049,0.0918,0.0046,< LOD,0.0014,< LOD,0.0007,0.0006,0.0005,< LOD,0.0001,< LOD,0.0004,< LOD,0.0002,< LOD,0,< LOD,0.0005,< LOD,0.0003,< LOD,0.0005,0,0,< LOD,0.0004,< LOD,0.0006,0,0,< LOD,0.0003,< LOD,0.0036,0,0,< LOD,0.0142,< LOD,0.0187,< LOD,0.0069,< LOD,0.0019,< LOD,0.0052,< LOD,0.0042,< LOD,0.0014,< LOD,0.0006,< LOD,0.003,< LOD,0.0004,< LOD,0.0011,< LOD,0.0014,< LOD,0.0018,< LOD,0.0015,Passed
RT251,92,CPT,GeoChem,DualMining,180,1.1324,0.6427,< LOD,0.137,72.0023,0.5062,0.0231,0.0113,< LOD,0.0075,0.02,0.0163,0.0521,0.0047,< LOD,0.0044,0.0168,0.0036,0.0067,0.0009,< LOD,0.0018,< LOD,0.0042,0.0776,0.0044,< LOD,0.0013,< LOD,0.0009,0.0011,0.0005,< LOD,0.0003,< LOD,0.0029,< LOD,0.0002,< LOD,0.0005,0.0007,0.0006,< LOD,0.0002,< LOD,0.001,< LOD,0.0004,< LOD,0.0009,< LOD,0.0006,0,0,< LOD,0.0016,< LOD,0.007,< LOD,0.003,< LOD,0.0185,< LOD,0.0155,< LOD,0.0077,< LOD,0.002,< LOD,0.0047,< LOD,0.0043,< LOD,0.0012,< LOD,0.0005,< LOD,0.003,< LOD,0.0003,< LOD,0.0011,< LOD,0.003,< LOD,0.0019,< LOD,0.0031,Passed
RT231,93,CPT,GeoChem,DualMining,180,0.9389,0.6966,< LOD,0.1649,94.4999,0.6277,0.0325,0.0117,0.0163,0.0076,0.0382,0.0154,0.0458,0.0051,0.0347,0.005,0.0095,0.0036,0.0004,0.0002,< LOD,0.0017,< LOD,0.0048,0.078,0.0043,< LOD,0.0014,< LOD,0.0007,0.0009,0.0005,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,0,0,< LOD,0.0005,< LOD,0.0003,< LOD,0.0004,0,0,0.0006,0.0004,0,0,0,0,< LOD,0.0002,< LOD,0.0033,0,0,< LOD,0.0142,< LOD,0.0189,< LOD,0.0067,< LOD,0.0019,< LOD,0.0052,< LOD,0.0042,< LOD,0.0013,0.0006,0.0006,< LOD,0.0029,< LOD,0.0005,< LOD,0.001,< LOD,0.0012,< LOD,0.0018,< LOD,0.0013,Passed
RT231,94,CPT,GeoChem,DualMining,180,1.1123,0.7545,0.2673,0.1806,99.0429,0.6599,0.0438,0.0124,0.0275,0.0079,0.063,0.0159,0.0611,0.0055,0.0873,0.0058,0.013,0.0038,0.0001,0,< LOD,0.0017,< LOD,0.0051,0.0882,0.0046,< LOD,0.0015,< LOD,0.0007,< LOD,0.0005,< LOD,0.0001,0,0,< LOD,0.0003,0,0,< LOD,0.0004,< LOD,0.0003,< LOD,0.0003,0,0,< LOD,0.0003,0,0,0,0,0,0,< LOD,0.0023,0,0,< LOD,0.0108,< LOD,0.0126,< LOD,0.0066,< LOD,0.002,< LOD,0.0099,< LOD,0.0042,< LOD,0.0014,< LOD,0.0006,< LOD,0.003,< LOD,0.0005,< LOD,0.0011,< LOD,0.0007,< LOD,0.0018,< LOD,0.0008,Passed
RT252,95,CPT,GeoChem,DualMining,180,1.2002,0.7275,< LOD,0.1691,93.3513,0.6208,0.0311,0.0116,< LOD,0.0076,0.0708,0.0167,0.0689,0.0055,0.0458,0.0054,0.011,0.0037,0.0014,0.0002,< LOD,0.0017,< LOD,0.0048,0.0891,0.0046,< LOD,0.0014,< LOD,0.0007,0.0011,0.0005,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0,< LOD,0.0004,< LOD,0.0003,< LOD,0.0005,0,0,< LOD,0.0004,< LOD,0.0006,0,0,< LOD,0.0003,< LOD,0.0034,0,0,< LOD,0.0112,< LOD,0.0178,< LOD,0.0068,< LOD,0.0019,< LOD,0.0053,< LOD,0.0043,< LOD,0.0014,< LOD,0.0006,< LOD,0.0031,< LOD,0.0004,< LOD,0.0011,< LOD,0.0013,< LOD,0.0018,< LOD,0.0013,Passed
RT247,96,CPT,GeoChem,DualMining,180,1.0103,0.757,0.81,0.1892,97.5846,0.6492,0.0325,0.0121,0.0189,0.0078,0.0651,0.0162,0.0594,0.0055,< LOD,0.0046,0.0106,0.0037,0.0003,0.0001,< LOD,0.0017,< LOD,0.0047,0.1088,0.0049,< LOD,0.0015,< LOD,0.0007,0.0008,0.0005,< LOD,0.0001,0,0,< LOD,0.0003,0,0,< LOD,0.0004,< LOD,0.0003,< LOD,0.0004,0,0,0.0005,0.0003,< LOD,0.0006,0,0,0,0,< LOD,0.0025,0,0,< LOD,0.0102,< LOD,0.012,< LOD,0.0067,< LOD,0.0018,< LOD,0.0052,< LOD,0.0041,< LOD,0.0013,< LOD,0.0006,< LOD,0.003,< LOD,0.0005,< LOD,0.0011,< LOD,0.0009,< LOD,0.0018,< LOD,0.0009,Passed
RT247,97,CPT,GeoChem,DualMining,183,< LOD,0.7836,2.9278,0.2239,100,0.6651,0.0507,0.013,0.0669,0.0084,0.1135,0.0158,0.142,0.0066,0.1022,0.0057,0.0271,0.0037,0,0,< LOD,0.0016,< LOD,0.0048,0.1063,0.0049,< LOD,0.0015,< LOD,0.0006,0.0008,0.0004,< LOD,0.0001,0,0,< LOD,0.0003,0,0,< LOD,0.0003,< LOD,0.0003,< LOD,0.0003,0,0,< LOD,0.0001,0,0,0,0,0,0,< LOD,0.0016,0,0,< LOD,0.0116,< LOD,0.0118,< LOD,0.0062,< LOD,0.0018,< LOD,0.009,< LOD,0.0041,< LOD,0.0014,0.0012,0.0006,< LOD,0.0029,< LOD,0.0006,< LOD,0.0011,< LOD,0.0004,< LOD,0.0018,< LOD,0.0004,Passed
