Site,Level,Area,LOT,UNIT,ID,RawMaterial,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes
VB,,T,LOT-321,H18,3252,Chert,,Blank,,,,0%,,,Plain,YesComplete,No,Irregular,Triangular,Hinge,Irregular,2,Bidirectional,6.71,25.49,14.92,26.21,11.03,25.77,5.27,12.27,82.7,3.3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-321,I18,3247,Chert,,Blank,,,,0%,,,Plain,No,Yes,Convergent,Triangular,Hinge,Twisted,3,Unidirectional,3.39,8.63,4.91,8.77,5.24,22.65,2.03,3.48,90.8,0.6,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-321,I18,3161,Quartz,Fine,RetouchedPiece,,Blank,,0%,,,Plain,No,Yes,Convergent,Irregular,Step,Irregular,2,Unidirectional,9.41,21.17,14.24,22.51,12.39,27.57,9.21,13.39,79.8,4.9,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,Notch,0,
VB,,T,LOT-257,I18,3218,Chert,,Blank,,,,0%,,,Plain,No,No,Parallel,Triangular,Step,Curved,3,Unidirectional,6.05,5.76,4.96,5.93,5.14,23.73,5.76,6.41,53.7,0.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
VB,,T,LOT-257,I18,2724,Greywacke,,Blank,,,,0%,,,Plain,No,No,Irregular,Irregular,Feather,Straight,1,Unidirectional,8.57,28.45,25.26,28.63,19.35,26.49,9.4,23.43,123,8.6,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-257,I18,2708,Chert,,Blank,,,,61-99%,Distal,Indeterminate,Crushed,No,No,Convergent,Triangular,Pointed,Straight,2,Unidirectional,7.14,20.93,13.28,17.82,12.16,40.8,2.36,8.31,105,4.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,Yes,,0,
VB,,T,LOT-257,I18,3086,Chert,,Blank,,,,0%,,,Plain,No,No,Convergent,Triangular,Pointed,Straight,1,Unidirectional,4.63,12.86,13.6,11.74,2.69,21.45,5.57,10.14,110.9,1.3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3271,Greywacke,,Blank,,,,31-60%,RightLateral,Cobble,Linear,No,No,Convergent,Lenticular,Feather,Straight,2,Unidirectional,2.34,11.53,5.83,11.6,7.22,21.7,1.6,5.11,95.7,0.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,Dolerite?
VB,,T,LOT-257,I18,3065,Chert,,Blank,,,,0%,,,Plain,No,No,Convergent,Triangular,Pointed,Straight,3,Unidirectional,6.01,7.29,5.69,6.94,2.77,23.97,3.81,6.01,54.8,0.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3241,Chert,,Blank,,,,0%,,,Plain,No,No,Convergent,Triangular,Hinge,Straight,2,Unidirectional,4.2,8.72,7.22,8.66,4.34,22.43,3.34,7.37,73.1,0.9,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
