ID,CLASS,COREPREPARPROD,PIECECOMPLETENESS,CORTEX,CORTEXLOCATION,PLATFORMTYPE,PLATFORMCORTEX,SCARCOUNT,THICKNESS,MAXWIDTH,LENGTH,COREPLATFORM,MAINFACECORTEX,MAINFACESCARCOUNT,COREABANDON,RETOUCHEDPIECETYPOLOGY
H18-3438,Shatter,,,0%,,,,,,,,,,,,
H18-3444,Shatter,,,0%,,,,,,,,,,,,
H18-3474,FlakeFrag,,Proximal,0%,,Plain,No,3,6.37,25.52,,,,,,
H18-3490,Core,,,1-30%,,,,,16.9,30.9,25.5,Crushed,1-30%,7,AngleLoss,
H18-3492,Flake,,,1-30%,ProxLeftLat,Cortical,YesComplete,5,10.7,37.7,31.25,,,,,
H18-3499,Shatter,,,0%,,,,,,,,,,,,
H21-4551,ElongBlankFrag,,Distal,0%,,,,3,3.56,9.31,,,,,,
H18-3501,Shatter,,,31-60%,,,,,,,,,,,,
H18-3512,RetouchedPiece,,,0%,,Plain,No,7,9.2,30,30.5,,,,,Retouched flake
H18-3514,Flake,,,1-30%,DistalRightLat,Crushed,No,5,9.75,17.5,31.64,,,,,
H18-3530,RetouchedPiece,,,1-30%,RightLateral,Plain,No,4,7.31,19.92,25.69,,,,,Splintered piece
H18-3531,RetouchedPiece,,,0%,,Dihedral,YesPartial,7,9.33,18.7,26.45,,,,,Retouched flake
H18-3532,RetouchedPiece,,,31-60%,ProxLeftLat,Plain,YesPartial,3,6.92,25.82,25.38,,,,,Splintered piece
H18-3540,CoreFrag,,,0%,,,,5,11.53,,,,,,,
H18-3548,FlakeFrag,,Mesial,0%,,,,1,2.45,20.41,,,,,,
H18-3550,ElongBlankFrag,,Distal,0%,,,,5,2.5,11.2,,,,,,
H18-3561,FlakeFrag,,Siret,0%,,,,4,6.34,24.81,,,,,,
H18-3566,FlakeFrag,,Proximal,1-30%,LeftLateral,Plain,No,3,5.39,19.21,,,,,,
H18-3576,Shatter,,,31-60%,,,,,,,,,,,,
H18-3581,Flake,,,1-30%,RightLateral,Plain,No,3,5.71,24.11,21,,,,,
H18-3584,ElongBlankFrag,,Distal,0%,,,,2,4.28,7.13,,,,,,
H18-3586,FlakeFrag,,Distal,0%,,,,3,3.56,19.93,,,,,,
H18-3603,FlakeFrag,,Proximal,0%,,Dihedral,No,3,3.5,19.4,,,,,,
H18-3606,Flake,,,0%,,Plain,No,4,4.3,16.1,14.8,,,,,
H18-3607,Shatter,,,0%,,,,,,,,,,,,
H18-3608,ElongBlank,,,1-30%,DistalLeftLat,Plain,No,5,5.7,14.1,39.3,,,,,
H18-3622,Flake,,,1-30%,RightLateral,Winged,No,4,6.8,13.6,23.2,,,,,
H18-3626,RetouchedPiece,,,61-99%,LeftLateral,Crushed,No,1,8.48,22.9,30.06,,,,,Burin
H18-3628,Flake,,,0%,,Cortical,YesComplete,2,1.8,23.8,19.9,,,,,
H18-3630,Shatter,,,31-60%,,,,,,,,,,,,
H18-3637,ElongBlank,,,1-30%,Proximal,Plain,YesComplete,2,1.8,9,19.9,,,,,
H18-3643,FlakeFrag,,Mesial,0%,,,,2,5.9,20.4,,,,,,
H18-3657,Flake,,,0%,,Crushed,No,4,4.73,16.16,21.14,,,,,
H18-3669,RetouchedPiece,,,0%,,Cortical,YesComplete,3,7.1,25.6,25.2,,,,,Retouched flake
H18-3678,BurinSpall,,,1-30%,Proximal,,,4,17.45,,,,,,,
H18-3682,Shatter,,,31-60%,,,,,,,,,,,,
H18-3683,Flake,,,0%,,Winged,No,3,2.53,17.92,15.07,,,,,
H18-3690,RetouchedPiece,,,0%,,Removed,,2,5.97,33.92,33.01,,,,,Burin
H18-3692,Shatter,,,0%,,,,,,,,,,,,
H18-3698,Flake,,,100%,,Winged,YesComplete,0,6.2,29.3,27.5,,,,,
H18-3699,Shatter,,,1-30%,,,,,,,,,,,,
H18-3705,FlakeFrag,,Distal,1-30%,Distal,,,2,5.33,13.59,,,,,,
H18-3712,Core,,,0%,,,,,8.23,22.42,24,Plain,0%,4,AngleLoss,
H18-3717,FlakeFrag,,Distal,0%,,,,3,6.79,18.87,,,,,,
H18-3718,Flake,,,61-99%,Distal,Winged,No,2,3.5,13,22.8,,,,,
H18-3739,Shatter,,,0%,,,,,,,,,,,,
H18-3744,ElongBlank,,,1-30%,Distal,Crushed,No,5,5.21,12.68,35.03,,,,,
H18-3780,ElongBlankFrag,,Mesial,0%,,,,2,2.64,8.83,,,,,,
H18-3784,Shatter,,,0%,,,,,,,,,,,,
H18-3792,RetouchedPiece,,,0%,,Cortical,YesComplete,2,4.08,21.12,27.47,,,,,Notch
H18-3794,RetouchedPiece,,,0%,,Plain,No,5,5.41,12.47,31.35,,,,,Burin
H18-3801,Flake,,,31-60%,Mesial,Plain,No,2,8.4,8.46,23.32,,,,,
H18-3802,FlakeFrag,,Distal,0%,,,,2,2.6,18.77,,,,,,
H18-3809,FlakeFrag,,Distal,0%,,,,3,4.7,18.54,,,,,,
H18-3814,RetouchedPiece,,,0%,,Cortical,YesComplete,3,3.8,8.7,21.1,,,,,Retouched bladelet
H18-3823,FlakeFrag,,Mesial,0%,,,,2,4.05,19.41,,,,,,
H18-3828,Shatter,,,31-60%,,,,,,,,,,,,
