AREA,ID,LAYER,RMTYPE,SUBTYPE,WEIGHT,ALTERATIONS,CRACKS,POTLIDS,REDDENING,GLOSS,WHITEPATINA,PATINA,OTHER,CORTEX,CORTEXTHICKNESS,CORTEXAPPEARANCE,INCLUSIONS,INCLUSIONTYPE
SHELTER,VB07-1183,,TYPE 11,CPT,1.6,Yes,No,No,No,No,Yes,No,No,No,,,,"Light, coarse splotches."
SHELTER,VB07-1205,,TYPE 11,TYPE 11A,8.5,Yes,Yes,No,Yes,Yes,Yes,No,No,No,,,,"Light, coarse splotches. Grey speckling. Laminated."
SHELTER,VB08-5478,,TYPE 11,CPT,0.7,Yes,No,No,No,No,Yes,No,No,No,,,,
SHELTER,VB09-219,,TYPE 11,TYPE 11A,1.8,Yes,No,No,No,No,Yes,Yes,No,No,,,,"Light, coarse splotches."
SHELTER,VB06-1452,,TYPE 11,CPT,0.1,Yes,No,No,No,No,Yes,Yes,No,Yes,Thin,Rounded,,"Light, coarse splotch. Dark dot outlines (2)."
SHELTER,VB08-5046,,TYPE 11,CPT,4.1,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,,Light dots. Irregular fossil/cavity filled with chalcedony.
SHELTER,VB08-4135,,TYPE 11,CPT,0.9,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,,White speckles.
SHELTER,VB07-1468,,INDET,ND_A,0.7,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Thin,Rounded,,
SHELTER,VB05-3031,,TYPE 11,CPT,3.9,Yes,No,No,No,No,Yes,No,No,No,,,,"Speckles, probably fossils filled with chalcedony. Dot filled with light, coarser chert."
SHELTER,VB06-426,,TYPE 11,CPT,0.7,No,,,,,,,No,Yes,Thin,Rounded,,"White, coarse splotch. White speckles."
SHELTER,VB07-518,,TYPE 11,CPT,2.9,Yes,No,No,No,No,No,Yes,Yes,No,,,,White speckles.
SHELTER,VB05-2103,,TYPE 11,TYPE 11A,5.2,Yes,No,No,No,No, ,No,No,No,,,,Irregular fossils replace by chalcedony.
SHELTER,VB09-1968,,TYPE 11,CPT,0.9,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,,Dark splotches. White speckling.
SHELTER,VB08-2468,,INDET,ND,1.8,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Thin,Rounded,,Dark grey and coarse splotch.
SHELTER,VB09-2022,,TYPE 13,TYPE 13,2.3,Yes,No,No,No,No,Yes,No,Yes,No,,,Yes,01b; 01a; 04
SHELTER,VB07-686,,TYPE 11,CPT,2,Yes,No,No,No,No,Yes,Yes,No,No,,,,
SHELTER,VB05-2453,,TYPE 11,CPT,2.1,Yes,No,No,No,No,Yes,Yes,No,No,,,,Speckling.
SHELTER,VB08-5965,,TYPE 11,CPT,1.3,Yes,No,No,No,No,Yes,Yes,No,No,,,,Laminated and finely laminated.
SHELTER,VB05-1053,,TYPE 11,CPT,0.7,Yes,No,No,No,No,Yes,Yes,No,Yes,Thin,Rounded,,Speckling. Splotch filled with chalcedony.
SHELTER,VB06-113,,TYPE 11,CPT,4.9,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,,Splotches. Horizontal and concentric laminations.
SHELTER,VB07-728,,TYPE 11,CPT,4.3,Yes,No,No,No,No,Yes,Yes,No,Yes,Medium,Rounded,,Laminations.
SHELTER,VB08-5119,,TYPE 11,CPT,1.9,Yes,No,No,No,No,No,Yes,No,Yes,Thin,Rounded,,White and grey speckling.
SHELTER,VB08-4858,,TYPE 11,CPT,1.2,Yes,No,No,No,No,Yes,No,No,No,,,,
SHELTER,VB06-393,,TYPE 11,CPT,1.3,No,,,,,,,No,Yes,Thin,Rounded,,
SHELTER,VB09-1981,,TYPE 11,CPT,1.5,Yes,No,No,No,No,Yes,Yes,No,No,,,,Irregular porosity filled with chalcedont. Iron oxide speckles. Possible concentration long/short fossils.
SHELTER,VB07-1523,,TYPE 11,TYPE 11A,0.5,Yes,No,No,No,No,No,Yes,No,No,,,,
