AREA,ID,LAYER,RMTYPE,SUBTYPE,WEIGHT,ALTERATIONS,CRACKS,POTLIDS,REDDENING,GLOSS,WHITEPATINA,PATINA,OTHER,CORTEX,CORTEXTHICKNESS,CORTEXAPPEARANCE,INCLUSIONS,INCLUSIONTYPE
TERRACE,I19-2846,LEVEL 5,TYPE 11,CPT_R,3.6,YES,NO,NO,NO,YES,YES,NO,NO,NO,,,YES,ND
TERRACE,K18-233,LEVEL 5,TYPE 11,CPT,0.6,YES,NO,NO,NO,YES,YES,NO,NO,NO,,,NO,
TERRACE,I20-4182,LEVEL 8,TYPE 13,TYPE 13,0.4,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,YES,01b
TERRACE,J18-1264,LEVEL 8,TYPE 13,TYPE 13,2.7,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,YES,04; 01b
TERRACE,J18-1248,LEVEL 8,INDET,ND_A,12.4,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,,
TERRACE,H18-4207,LEVEL 8,INDET,TYPE 8,60.6,YES,NO,NO,NO,NO,NO,YES,YES,NO,,,YES,NA
TERRACE,I19-3902,LEVEL 8,INDET,TYPE 13W,0.1,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,Grey speckles,
TERRACE,I20-4231,LEVEL 8,INDET,TYPE 13W,7,NO,NO,NO,NO,NO,NO,NO,NO,YES,Medium,Outcrop,Finer chert,
TERRACE,H18-4301,LEVEL 8,TYPE 15,TYPE 15,1.8,NO,NO,NO,NO,NO,NO,NO,NO,YES,Medium,INDETERMINATE,,
TERRACE,I18-4685,LEVEL 8,INDET,TYPE 13W,0.7,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,I18-4592,LEVEL 8,INDET,TYPE 13W,1.4,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,Some circular inclusions larger than speckles,
TERRACE,I20-4072,LEVEL 7,TYPE 11,CPT_R,0.4,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,I20-4226,LEVEL 8,TYPE 2,TYPE 2B,18.2,YES,NO,NO,NO,NO,NO,YES,YES,NO,,,NO,
TERRACE,I18-4724,LEVEL 8,TYPE 2,TYPE 2,11.1,YES,NO,NO,NO,NO,NO,YES,NO,NO,,,YES,ND
TERRACE,H18-4092,LEVEL 8,TYPE 2,TYPE 17,26.9,NO,NO,NO,NO,NO,NO,NO,NO,YES,Thin,Rounded,,
TERRACE,I20-4207,LEVEL 8,TYPE 2,TYPE 17,0.4,NO,NO,NO,NO,NO,NO,NO,NO,YES,Thin,Outcrop,,
TERRACE,I21-4187,LEVEL 8,INDET,ND,1.4,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,I18-4658,LEVEL 8,TYPE 7,TYPE 7A,11,YES,NO,NO,NO,NO,YES,YES,YES,YES,Thick,Outcrop,NO,
TERRACE,H18-4277,LEVEL 8,TYPE 11,TYPE 11E,3.1,YES,NO,NO,NO,YES,NO,NO,NO,NO,,,,
TERRACE,H18-4205,LEVEL 8,TYPE 11,TYPE 11W,2.8,YES,NO,NO,NO,YES,NO,NO,NO,NO,,,,
TERRACE,I20-4118,LEVEL 8,TYPE 12,TYPE 12B,23.1,YES,NO,NO,NO,NO,NO,YES,YES,NO,,,NO,
TERRACE,H20-4400,LEVEL 8,TYPE 12,TYPE 12B,7.6,YES,NO,NO,NO,YES,NO,YES,YES,NO,,,NO,
TERRACE,I20-4130,LEVEL 8,TYPE 11,CPT_LB,2.5,YES,NO,NO,NO,YES,YES,NO,NO,YES,Thin,Pebble,,
TERRACE,I20-4194,LEVEL 8,TYPE 11,CPT_LB,18.7,YES,NO,NO,NO,NO,YES,NO,NO,YES,Medium,Outcrop,,
TERRACE,H20-4403,LEVEL 7,INDET,ND_A,11.3,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,Color differences are differences in the grain,
TERRACE,J19-39,LEVEL 7,INDET,ND_A,7.1,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,,
TERRACE,J18-239,LEVEL 7,INDET,ND_A,2.2,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,,
TERRACE,J18-1075,LEVEL 7,TYPE 2,TYPE 2A,2.1,YES,NO,NO,NO,NO,NO,YES,YES,NO,,,,
TERRACE,I19-3962,LEVEL 7,TYPE 2,TYPE 2,1.7,YES,NO,NO,NO,NO,NO,NO,YES,YES,Medium,Outcrop,NO,
TERRACE,J18-412,LEVEL 7,TYPE 2,TYPE 2,0.7,YES,NO,NO,NO,NO,NO,YES,NO,NO,,,YES,SP
TERRACE,I20-4189,LEVEL 7,TYPE 2,TYPE 2A,1.5,YES,NO,NO,NO,NO,NO,YES,YES,YES,Thin,Outcrop,YES,SP?
TERRACE,J18-381,LEVEL 7,TYPE 11,CPT_BR,11.4,YES,NO,NO,NO,NO,YES,NO,NO,NO,,,,
TERRACE,I18-4691,LEVEL 7,TYPE 2,TYPE 2R,3.8,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,Pale red splotches,
TERRACE,I20-4234,LEVEL 7,TYPE 2,TYPE 2R,1.5,YES,NO,NO,YES,NO,NO,YES,NO,NO,,,YES,FE?
TERRACE,J20-92,LEVEL 7,TYPE 2,TYPE 2R,0.6,YES,NO,NO,YES,NO,YES,NO,NO,YES,Thick,Outcrop,,
TERRACE,I20-4121,LEVEL 7,INDET,ND_A,1.4,YES,NO,NO,YES,NO,NO,YES,YES,NO,,,NO,
TERRACE,J21-1,LEVEL 7,TYPE 2,TYPE 2R,0.8,YES,NO,NO,YES,NO,NO,YES,YES,NO,,,YES,ND
TERRACE,J19-56,LEVEL 7,INDET,ND_A,1.1,YES,NO,YES,YES,YES,NO,NO,NO,YES,Thick,Outcrop,,
TERRACE,L18-288,LEVEL 7,TYPE 2,TYPE 2R,0.7,YES,NO,NO,NO,NO,NO,YES,NO,YES,Thin,Outcrop,,
TERRACE,J18-394,LEVEL 7,TYPE 2,TYPE 2R,1.5,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,I19-3908,LEVEL 7,TYPE 2,TYPE 2R,0.1,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,J18-1092,LEVEL 7,INDET,TYPE 13W,1.4,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,Dark grey circles,
TERRACE,I19-4111,LEVEL 7,INDET,TYPE 13W,11.4,YES,NO,NO,YES,YES,NO,NO,NO,NO,,,Grey splotches and veins of grey,
TERRACE,I20-4107,LEVEL 7,INDET,TYPE 13W,1.5,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,Dark grey flecks,
TERRACE,H19-4390,LEVEL 7,INDET,TYPE 13W,6.2,NO,NO,NO,NO,NO,NO,NO,NO,YES,Thin,Outcrop,YES,"SP?, GREY SPLOTCHES"
TERRACE,J18-295,LEVEL 7,TYPE 2,TYPE 2,7.3,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,Coarse yellow splotch and two areas of uneven structure,
TERRACE,I19-3915,LEVEL 7,TYPE 7,TYPE 7A,3,YES,NO,NO,NO,NO,YES,NO,NO,YES,Medium,Rounded,YES,SP
TERRACE,K19-73,LEVEL 7,TYPE 7,TYPE 7,4,NO,NO,NO,NO,NO,NO,NO,NO,YES,Thin,Rounded,Light brown splotch and light grey speckles,
TERRACE,H20-4359,LEVEL 7,TYPE 7,TYPE 7,10.3,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,Color variations and grey speckles,
TERRACE,J20-24,LEVEL 7,TYPE 13,TYPE 13,0.6,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,YES,01a
TERRACE,L18-262,LEVEL 7,TYPE 13,TYPE 13,3.7,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,YES,01b
TERRACE,J20-22,LEVEL 7,TYPE 13,TYPE 13,1.1,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,YES,ND
TERRACE,L18-351,LEVEL 7,TYPE 13,TYPE 13,0.6,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,YES,03;
TERRACE,I19-4099,LEVEL 7,INDET,ND,4.2,YES,NO,NO,NO,NO,NO,YES,NO,YES,Thin,Pebble,YES,ND
TERRACE,I19-3920,LEVEL 7,TYPE 11,TYPE 11A,4.2,YES,YES,YES,NO,YES,NO,NO,YES,YES,Thin,Pebble,,
TERRACE,H18-4180,LEVEL 7,INDET,ND_A,1.9,YES,NO,NO,NO,NO,NO,YES,YES,YES,Medium,Outcrop,Light brown circle ,
TERRACE,K19-157,LEVEL 7,INDET,ND_A,2.4,YES,NO,NO,NO,YES,NO,YES,YES,YES,Thick,Outcrop,,
TERRACE,H18-4120,LEVEL 7,INDET,ND,4.3,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,H18-4118,LEVEL 7,INDET,ND_A,3,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,,
TERRACE,I18-4750,LEVEL 7,INDET,ND_A,2.8,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,Large splotches with crystals,
TERRACE,J20-44,LEVEL 7,INDET,ND_A,0.1,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,,
TERRACE,H18-4295,LEVEL 7,INDET,ND,2,YES,NO,NO,NO,NO,NO,NO,YES,YES,Thin,Outcrop,,
TERRACE,J18-1112,LEVEL 7,INDET,ND_A,2.3,YES,NO,NO,NO,NO,NO,NO,YES,YES,Thin,Outcrop,,
TERRACE,I19-4009,LEVEL 7,INDET,ND_A,19,YES,NO,NO,NO,NO,NO,NO,YES,YES,Thick,INDETERMINATE,,
TERRACE,L18-301,LEVEL 7,INDET,ND_A,6.3,YES,YES,NO,NO,YES,YES,NO,YES,NO,,,,
TERRACE,I19-3968,LEVEL 7,INDET,TYPE 8,8.7,YES,NO,NO,NO,NO,NO,YES,YES,NO,,,,
TERRACE,J18-1133,LEVEL 7,INDET,ND_A,0.9,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,NO,
TERRACE,J20-6,LEVEL 7,INDET,ND_A,2.2,YES,NO,NO,NO,NO,YES,NO,NO,YES,Thin,Rounded,,
TERRACE,J18-351,LEVEL 7,Chalcedony,Chalcedony,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,J18-387,LEVEL 7,Chalcedony,Chalcedony,1.5,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,H18-4125,LEVEL 7,Chalcedony,Chalcedony,13.4,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,I19-3999,LEVEL 7,Chalcedony,Chalcedony,9.4,YES,NO,NO,NO,NO,YES,NO,NO,NO,,,,
TERRACE,H19-4409,LEVEL 7,Chalcedony,Chalcedony,11.5,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,I18-4579,LEVEL 7,Chalcedony,Chalcedony,0.8,YES,NO,NO,NO,NO,NO,YES,NO,NO,,,,
TERRACE,J18-236,LEVEL 7,Chalcedony,Chalcedony,1.8,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,J18-1122,LEVEL 7,Chalcedony,Chalcedony,3.2,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,I18-4729,LEVEL 7,Chalcedony,Chalcedony,4.2,YES,NO,NO,NO,NO,YES,NO,NO,YES,Thin,Outcrop,,
TERRACE,K19-95,LEVEL 7,Chalcedony,Chalcedony,6.6,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,Horizontal flecked lines in several shades of yellow and white,
TERRACE,H20-4437,LEVEL 7,Chalcedony,Chalcedony,78.7,YES,NO,NO,NO,NO,YES,NO,NO,NO,,,,
TERRACE,I19-4031,LEVEL 7,TYPE 12,TYPE 12B,17.5,YES,NO,NO,NO,NO,NO,YES,YES,YES,Medium,Outcrop,NO,
TERRACE,I20-4171,LEVEL 7,TYPE 12,TYPE 12,5.1,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,,
TERRACE,J19-30,LEVEL 7,Oolitic,Oolitic,10.5,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,YES,Ooid?
TERRACE,J18-306,LEVEL 7,INDET,ND,5.1,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,,
TERRACE,L19-96,LEVEL 7,INDET,ND_A,0.5,YES,NO,NO,NO,NO,NO,NO,YES,NO,,,,
TERRACE,J21-5,LEVEL 7,TYPE 2,TYPE 2A,0.9,YES,NO,NO,NO,NO,NO,YES,YES,YES,Thin,Outcrop,,
TERRACE,J18-271,LEVEL 7,TYPE 12,TYPE 12,0.8,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,J18-277,LEVEL 7,INDET,ND,10.5,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,YES,ND
TERRACE,J18-391,LEVEL 7,TYPE 12,TYPE 12,1.1,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,
TERRACE,L18-297,LEVEL 7,TYPE 12,TYPE 12,7.2,NO,NO,NO,NO,NO,NO,NO,NO,YES,Medium,Rounded,YES,SP
