Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,0,0
80,-0.07739226,0,0
81,-0.07239276,0,0
82,-0.06739326,0,0
83,-0.06239376,3,0.386299253
84,-0.05739426,10,1.287664177
85,-0.05239476,38,4.893123873
86,-0.04739526,98,12.61910894
87,-0.04239576,241,31.03270667
88,-0.03739626,514,66.18593871
89,-0.03239676,1075,138.423899
90,-0.02739726,2055,264.6149884
91,-0.02239776,3442,443.2140098
92,-0.01739826,5148,662.8895184
93,-0.01239876,6874,885.1403554
94,-0.00739926,8534,1098.892609
95,-0.00239976,9295,1196.883853
96,0.00259974,9185,1182.719547
97,0.00759924,8342,1074.169457
98,0.01259874,6878,885.6554211
99,0.01759824,4992,642.8019572
100,0.02259774,3303,425.3154777
101,0.02759724,2014,259.3355653
102,0.03259674,1112,143.1882565
103,0.03759624,595,76.61601854
104,0.04259574,263,33.86556786
105,0.04759524,129,16.61086789
106,0.05259474,35,4.50682462
107,0.05759424,14,1.802729848
108,0.06259374,7,0.901364924
109,0.06759324,3,0.386299253
110,0.07259274,0,0
111,0.07759224,0,0
112,0.08259174,15.44225366,1.988443685
113,0.08759124,24.65531201,3.174776205
114,0.09259074,18.01262536,2.319421242
115,0.09759024,15.35758072,1.977540654
116,0.10258974,12.47813385,1.606764595
117,0.10758924,19.30981837,2.486456138
118,0.11258874,14.50387064,1.867611465
119,0.11758824,20.82374444,2.681398975
120,0.12258774,12.9534029,1.667963288
121,0.12758724,11.4612903,1.475829294
122,0.13258674,11.20633415,1.442999504
123,0.13758624,14.16475692,1.823945006
124,0.14258574,24.89745747,3.205956408
125,0.14758524,20.67114487,2.661749275
126,0.15258474,9.953211677,1.281639412
127,0.15758424,2.88735013,0.371793733
128,0.16258374,0.539619463,0.069484865
129,0.16758324,9.583175139,1.233991133
130,0.17258274,7.404874238,0.953499129
131,0.17758224,13.08747188,1.685226871
132,0.18258174,17.9524117,2.311667744
133,0.18758124,18.57008011,2.391202693
134,0.19258074,18.85311201,2.427647697
135,0.19758024,12.36449114,1.592131231
136,0.20257974,10.86953214,1.399630715
137,0.20757924,10.30895499,1.327447204
138,0.21257874,21.75358966,2.801131813
139,0.21757824,23.94461545,3.083262355
140,0.22257774,28.44301639,3.662505329
141,0.22757724,30.53808944,3.932280381
142,0.23257674,27.94703813,3.598639986
143,0.23757624,32.66984121,4.20677842
144,0.24257574,55.78923928,7.183780489
145,0.24757524,79.22432886,10.20143302
146,0.25257474,95.21109015,12.25999101
147,0.25757424,110.5877744,14.23999156
148,0.26257374,113.4175365,14.60436988
149,0.26757324,148.5867395,19.13298216
150,0.27257274,178.4184494,22.97430458
151,0.27757224,181.7233931,23.39987035
152,0.28257174,193.8733328,24.96437455
153,0.28757124,126.6149058,16.30374785
154,0.29257074,113.5437736,14.62062498
155,0.29757024,115.5162382,14.87461218
156,0.30256974,108.2748969,13.9421706
157,0.30756924,75.06495348,9.665845156
158,0.31256874,56.80317135,7.31434089
159,0.31756824,33.91874198,4.367594898
160,0.32256774,27.80580452,3.580453839
161,0.32756724,32.37372146,4.16864814
162,0.33256674,45.09994069,5.807357802
163,0.33756624,45.63622065,5.876412651
164,0.34256574,32.78646048,4.221795066
165,0.34756524,22.99946675,2.961558943
166,0.35256474,22.52115044,2.899967865
167,0.35756424,29.24154182,3.765328589
168,0.36256374,34.10788624,4.391950327
169,0.36756324,23.88202035,3.075202208
170,0.37256274,23.83795339,3.069527864
171,0.37756224,19.40866739,2.499184572
172,0.38256174,26.85011758,3.457393456
173,0.38756124,30.12627305,3.87925226
174,0.39256074,25.50328802,3.283967038
175,0.39756024,31.91314357,4.109341176
176,0.40255974,32.26130036,4.154172078
177,0.40755924,26.39422181,3.398689391
178,0.41255874,26.86099193,3.458793707
179,0.41755824,27.7385589,3.571794862
180,0.42255774,26.62608028,3.428544976
181,0.42755724,30.0670276,3.871623436
182,0.43255674,32.15992123,4.141117851
183,0.43755624,38.40289393,4.945003082
184,0.44255574,41.07912521,5.289611796
185,0.44755524,47.39311233,6.102641299
186,0.45255474,52.16595476,6.717223121
187,0.45755424,63.57489844,8.186311929
188,0.46255374,100.6985114,12.96658658
189,0.46755324,137.7548797,17.73820238
190,0.47255274,168.8506839,21.7422977
191,0.47755224,243.9878092,31.41743616
192,0.48255174,348.1259468,44.82693109
193,0.48755124,455.7513025,58.68546259
194,0.49255074,637.6315602,82.10553183
195,0.49755024,881.4384838,113.499676
196,0.50254974,1075.562948,138.4963878
197,0.50754924,1261.673041,162.4611178
198,0.51254874,1427.278338,183.7855187
199,0.51754824,1544.984786,198.9421563
200,0.52254774,1593.385952,205.1746011
201,0.52754724,1561.369619,201.0519726
202,0.53254674,1468.523833,189.0965533
203,0.53754624,1259.199693,162.1426336
204,0.54254574,1080.466556,139.1278079
205,0.54754524,871.7818206,112.2562221
206,0.55254474,681.2407716,87.72093376
207,0.55754424,484.3748408,62.37121308
208,0.56254374,358.3914934,46.14878875
209,0.56754324,267.3951011,34.43150928
210,0.57254274,137.7239402,17.73421842
211,0.57754224,90.66565588,11.67469172
212,0.58254174,74.41098975,9.581636589
213,0.58754124,38.72885459,4.986975867
214,0.59254074,33.40275348,4.301152908
215,0.59754024,27.78763136,3.578113747
216,0.60253974,28.49162683,3.668764721
217,0.60753924,26.74532414,3.44389958
218,0.61253874,21.02152943,2.70686704
219,0.61753824,19.92948986,2.566249017
220,0.62253774,32.23798421,4.151169741
221,0.62753724,25.90424441,3.335596757
222,0.63253674,46.61938931,6.003011758
223,0.63753624,47.45250151,6.110288631
224,0.64253574,41.0216285,5.282208151
225,0.64753524,72.65345926,9.355325684
226,0.65253474,68.99284548,8.88396156
227,0.65753424,105.7463915,13.61658402
228,0.66253374,94.30842575,12.14375814
229,0.66753324,108.5884388,13.98254427
230,0.67253274,126.2325784,16.25451692
231,0.67753224,121.9239438,15.69970947
232,0.68253174,121.3278097,15.62294743
233,0.68753124,106.9855226,13.77614249
234,0.69253074,96.84348337,12.47018843
235,0.69753024,86.80314027,11.17732942
236,0.70252974,79.59515368,10.24918281
237,0.70752924,76.78309826,9.887084504
238,0.71252874,60.8311688,7.833011693
239,0.71752824,65.93326832,8.48999077
240,0.72252774,33.5973665,4.326212529
241,0.72752724,33.354804,4.294978625
242,0.73252674,32.94371395,4.242044032
243,0.73752624,33.09588955,4.261639139
244,0.74252574,44.92739303,5.785139457
245,0.74752524,38.38096277,4.942179084
246,0.75252474,25.25406223,3.251875126
247,0.75752424,34.50021863,4.442469564
248,0.76252374,25.3701406,3.266822122
249,0.76752324,33.08184481,4.259830647
250,0.77252274,44.92192542,5.784435413
251,0.77752224,34.23291861,4.408050298
252,0.78252174,35.76481728,4.605307402
253,0.78752124,34.19212876,4.402797935
254,0.79252074,30.42598156,3.917844651
255,0.79752024,34.6286515,4.459007404
256,0.80251974,38.01955749,4.895642221
257,0.80751924,39.47599937,5.083183025
