Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,0,0
80,-0.07739226,0,0
81,-0.07239276,0,0
82,-0.06739326,1,0.056634762
83,-0.06239376,1,0.056634762
84,-0.05739426,7,0.396443337
85,-0.05239476,30,1.699042873
86,-0.04739526,93,5.267032905
87,-0.04239576,179,10.13762247
88,-0.03739626,473,26.78824262
89,-0.03239676,1042,59.01342244
90,-0.02739726,1923,108.9086481
91,-0.02239776,3253,184.2328821
92,-0.01739826,5013,283.910064
93,-0.01239876,6773,383.5872459
94,-0.00739926,8347,472.7303619
95,-0.00239976,9221,522.2291442
96,0.00259974,9202,521.1530838
97,0.00759924,8364,473.6931529
98,0.01259874,6711,380.0758906
99,0.01759824,4865,275.5281192
100,0.02259774,3192,180.7781616
101,0.02759724,1868,105.7937362
102,0.03259674,1058,59.91957864
103,0.03759624,566,32.05527553
104,0.04259574,246,13.93215155
105,0.04759524,108,6.116554341
106,0.05259474,34,1.925581922
107,0.05759424,16,0.906156199
108,0.06259374,4,0.22653905
109,0.06759324,1,0.056634762
110,0.07259274,0,0
111,0.07759224,0,0
112,0.08259174,14.66379126,0.830480334
113,0.08759124,11.89564278,0.673706902
114,0.09259074,21.0920229,1.194541706
115,0.09759024,18.11782515,1.026098723
116,0.10258974,6.908504135,0.39126149
117,0.10758924,9.011835969,0.510383189
118,0.11258874,10.56173016,0.598161078
119,0.11758824,13.31074825,0.753851065
120,0.12258774,10.17735458,0.576392059
121,0.12758724,12.99410097,0.735917821
122,0.13258674,6.206711905,0.351515654
123,0.13758624,6.457691636,0.365729832
124,0.14258574,0,0
125,0.14758524,7.133133714,0.403983333
126,0.15258474,8.33198073,0.471879749
127,0.15758424,6.166109051,0.349216121
128,0.16258374,10.796657,0.611466104
129,0.16758324,13.38545261,0.758081929
130,0.17258274,17.39403318,0.985106937
131,0.17758224,10.14365159,0.574483298
132,0.18258174,7.195653029,0.4075241
133,0.18758124,13.54297396,0.767003113
134,0.19258074,18.97293583,1.074527713
135,0.19758024,22.95185058,1.299872605
136,0.20257974,26.92233317,1.524739943
137,0.20757924,30.26942448,1.714301664
138,0.21257874,37.28574486,2.111669302
139,0.21757824,41.9148261,2.373836218
140,0.22257774,58.82086927,3.331305956
141,0.22757724,95.30789431,5.397739951
142,0.23257674,128.8985196,7.300137032
143,0.23757624,173.1134573,9.804239523
144,0.24257574,243.4073936,13.78531991
145,0.24757524,344.9167649,19.53427904
146,0.25257474,464.2080773,26.29031417
147,0.25757424,636.2911037,36.03619549
148,0.26257374,758.5878186,42.96244088
149,0.26757324,871.6454758,49.36543443
150,0.27257274,914.174466,51.77405369
151,0.27757224,932.8671743,52.83271078
152,0.28257174,914.600756,51.79819652
153,0.28757124,861.0256756,48.76398457
154,0.29257074,691.2154607,39.14682339
155,0.29757024,551.6042522,31.23997577
156,0.30256974,427.4935158,24.2109937
157,0.30756924,350.654737,19.85924772
158,0.31256874,226.1426328,12.80753428
159,0.31756824,161.5486414,9.149268927
160,0.32256774,97.13372086,5.501145204
161,0.32756724,82.69624171,4.683482002
162,0.33256674,61.75068154,3.497235178
163,0.33756624,55.40088296,3.137615844
164,0.34256574,41.42207981,2.345929649
165,0.34756524,44.12022209,2.498738296
166,0.35256474,42.57158091,2.411031371
167,0.35756424,36.94072134,2.092128977
168,0.36256374,33.49600003,1.897038004
169,0.36756324,30.46255939,1.725239814
170,0.37256274,32.53491034,1.842606918
171,0.37756224,33.69174613,1.908124038
172,0.38256174,33.41931257,1.892694828
173,0.38756124,34.23682308,1.938994341
174,0.39256074,28.19730161,1.596947477
175,0.39756024,32.42423677,1.836338946
176,0.40255974,31.59614356,1.789440084
177,0.40755924,32.6547689,1.849395078
178,0.41255874,29.26494366,1.657413132
179,0.41755824,30.32887348,1.717668544
180,0.42255774,28.60353819,1.61995459
181,0.42755724,27.98602115,1.584981659
182,0.43255674,29.42079289,1.666239616
183,0.43755624,32.26696326,1.827431798
184,0.44255574,43.5010875,2.463673755
185,0.44755524,42.41510955,2.402169653
186,0.45255474,55.45603847,3.140739564
187,0.45755424,65.30929369,3.698776332
188,0.46255374,94.75991179,5.366705091
189,0.46755324,119.2843153,6.755638858
190,0.47255274,182.2503916,10.32170763
191,0.47755224,279.5580188,15.83270198
192,0.48255174,372.4801099,21.09532253
193,0.48755124,508.434024,28.79504015
194,0.49255074,717.525617,40.63689285
195,0.49755024,918.126988,51.99790383
196,0.50254974,1188.345343,67.30165617
197,0.50754924,1376.17453,77.93931754
198,0.51254874,1548.427579,87.69482807
199,0.51754824,1746.971653,98.9393245
200,0.52254774,1754.551061,99.36858249
201,0.52754724,1782.459586,100.9491752
202,0.53254674,1759.56906,99.6527757
203,0.53754624,1456.446298,82.48549009
204,0.54254574,1308.598737,74.11217859
205,0.54754524,979.4347815,55.47005616
206,0.55254474,794.6691334,45.00589757
207,0.55754424,613.3377165,34.73623586
208,0.56254374,393.1222232,22.26438371
209,0.56754324,258.3443627,14.6312716
210,0.57254274,169.8628682,9.620143186
211,0.57754224,104.4733413,5.916822864
212,0.58254174,60.25655273,3.412615548
213,0.58754124,33.57903194,1.901740496
214,0.59254074,25.64960127,1.452659074
215,0.59754024,25.94770145,1.469541907
216,0.60253974,21.73770453,1.231109731
217,0.60753924,21.01394039,1.190119521
218,0.61253874,15.95111513,0.903387616
219,0.61753824,20.46736144,1.159164153
220,0.62253774,15.56600178,0.881576812
221,0.62753724,20.70109476,1.172401584
222,0.63253674,14.0458731,0.795484686
223,0.63753624,21.36654593,1.210089253
224,0.64253574,21.77659603,1.233312342
225,0.64753524,12.38228156,0.701267574
226,0.65253474,19.94755027,1.12972477
227,0.65753424,14.97773533,0.848260482
228,0.66253374,31.50594747,1.784331849
229,0.66753324,22.33411678,1.264887398
230,0.67253274,22.03269071,1.247816204
231,0.67753224,30.72441381,1.740069876
232,0.68253174,28.07078991,1.589782517
233,0.68753124,26.49717009,1.500660933
234,0.69253074,21.64627607,1.225931703
235,0.69753024,25.35838373,1.436166038
236,0.70252974,26.92754423,1.52503507
237,0.70752924,19.78054977,1.120266737
238,0.71252874,22.87738396,1.295655205
239,0.71752824,27.62226815,1.564380594
240,0.72252774,33.99605139,1.925358293
241,0.72752724,32.63466632,1.848256574
242,0.73252674,18.81253497,1.065443448
243,0.73752624,29.52049876,1.671886434
244,0.74252574,23.59008502,1.33601886
245,0.74752524,29.34823071,1.662130074
246,0.75252474,19.4748288,1.102952302
247,0.75752424,28.51910601,1.615172793
248,0.76252374,38.27200796,2.167526078
249,0.76752324,27.55885369,1.560789131
250,0.77252274,28.52978367,1.61577752
251,0.77752224,23.3818239,1.324224041
252,0.78252174,33.55078302,1.900140625
253,0.78752124,40.17704578,2.275417442
254,0.79252074,36.17056058,2.048511105
255,0.79752024,43.091243,2.440462309
256,0.80251974,30.94471672,1.75254668
257,0.80751924,37.57839458,2.128243449
258,0.81251874,40.01292432,2.266122462
