Sample,Outcrop,Quartz,Dolomite,Calcite,Moganite,Gypsum,Halite
SP6_CSV,LJW,xx,xx,,,,
SP7_CSV,LJW,xxx,(x),,,,
SP10_PdA,LJW,xxx,,(x),,,
SP14_PBX,LJW,xxx,(x),,,,(x)
SP15_PBX,LJW,xxx,(x),,,,
SP18_PBX,LJW,xxx,(x),,,,(x)
SP21_BLS,LJW,xxx,,,x*,,
SP28_ASP,LJW,xxx,(x),,,,
SP30_FZF,LJW,xxx,(x),,,,
SP33_FZF,LJW,xxx,(x),,,,
SP34_PdA_a,LJW,xxx,,,,,
SP40_FER,LJW,x,,x /x*,,,
TABUAL,TW,x*,x*,x*,x*,x*,
SP69_MAR,UJW,xxx,,(x),,,
SP50_CdC,MJE,xxx,,,,,
SP52_GUI,MJE,xxx,(x),(x),,,
SP62_OLV,MJE,xxx,,,,,
SP63_OLV,MJE,xxx,,,,,
SP66_MALH,MJE,xxx,,,,,
SP57_JOR,UJE,xx,,xx,,,
SP58_JOR,UJE,xx,,xx,,,
SP59_JOR,UJE,xx,,xx,,,
SP61_PER,UJE,xxx,,(x),,,
