Angle,Observed,Calculated,Background,Quartz_nb,Calcite_bn,Quartz,Calcite
4.0028,2093,2216.08,2215.2,0.87,0.01,2216.07,2215.21
4.053,2100,2151.23,2150.35,0.87,0.01,2151.22,2150.36
4.1031,2115,2099.38,2098.49,0.88,0.01,2099.37,2098.5
4.1533,2166,2058.08,2057.19,0.88,0.01,2058.07,2057.2
4.2034,2048,2025.35,2024.45,0.89,0.01,2025.34,2024.46
4.2535,2015,1999.49,1998.58,0.89,0.01,1999.47,1998.59
4.3037,1992,1979.09,1978.18,0.9,0.01,1979.08,1978.19
4.3538,2023,1962.96,1962.04,0.91,0.01,1962.95,1962.05
4.4039,2039,1950.13,1949.21,0.91,0.01,1950.12,1949.22
4.4541,1942,1939.79,1938.86,0.92,0.01,1939.78,1938.87
4.5042,1947,1931.26,1930.33,0.92,0.01,1931.25,1930.34
4.5544,1966,1924.01,1923.07,0.93,0.01,1924,1923.08
4.6045,1907,1917.59,1916.64,0.93,0.01,1917.57,1916.65
4.6546,1955,1911.64,1910.69,0.94,0.01,1911.63,1910.7
4.7048,1856,1905.9,1904.95,0.94,0.01,1905.89,1904.96
4.7549,1914,1900.14,1899.18,0.95,0.01,1900.13,1899.19
4.805,1897,1894.19,1893.22,0.95,0.01,1894.17,1893.23
4.8552,1865,1887.93,1886.96,0.96,0.01,1887.92,1886.97
4.9053,1884,1881.27,1880.29,0.97,0.01,1881.26,1880.3
4.9554,1843,1874.15,1873.17,0.97,0.01,1874.14,1873.18
5.0056,1901,1866.54,1865.55,0.98,0.01,1866.53,1865.56
5.0557,1838,1858.41,1857.42,0.98,0.01,1858.4,1857.43
5.1059,1767,1849.78,1848.78,0.99,0.01,1849.77,1848.79
5.156,1737,1840.64,1839.64,0.99,0.01,1840.63,1839.65
5.2061,1822,1831.03,1830.02,1,0.01,1831.02,1830.03
5.2563,1731,1820.97,1819.95,1,0.01,1820.95,1819.96
5.3064,1785,1810.48,1809.46,1.01,0.01,1810.47,1809.47
5.3565,1776,1799.62,1798.59,1.02,0.01,1799.61,1798.6
5.4067,1723,1788.42,1787.38,1.02,0.01,1788.4,1787.39
5.4568,1745,1776.91,1775.87,1.03,0.01,1776.9,1775.88
5.507,1720,1765.15,1764.1,1.03,0.01,1765.13,1764.11
5.5571,1748,1753.16,1752.11,1.04,0.01,1753.15,1752.12
5.6072,1768,1740.99,1739.94,1.05,0.01,1740.99,1739.95
5.6574,1722,1728.69,1727.62,1.05,0.01,1728.67,1727.63
5.7075,1754,1716.27,1715.21,1.06,0.01,1716.27,1715.22
5.7576,1667,1703.79,1702.72,1.06,0.01,1703.78,1702.73
5.8078,1714,1691.27,1690.19,1.07,0.01,1691.26,1690.2
5.8579,1588,1678.74,1677.66,1.08,0.01,1678.74,1677.67
5.9081,1721,1666.24,1665.14,1.08,0.01,1666.22,1665.15
5.9582,1653,1653.78,1652.68,1.09,0.01,1653.77,1652.69
6.0083,1652,1641.38,1640.28,1.09,0.01,1641.37,1640.29
6.0585,1621,1629.09,1627.97,1.1,0.01,1629.07,1627.98
6.1086,1645,1616.9,1615.78,1.11,0.01,1616.89,1615.79
6.1587,1674,1604.84,1603.71,1.11,0.01,1604.82,1603.72
6.2089,1657,1592.92,1591.79,1.12,0.01,1592.91,1591.8
6.259,1602,1581.15,1580.02,1.12,0.01,1581.14,1580.03
6.3092,1599,1569.56,1568.41,1.13,0.01,1569.54,1568.42
6.3593,1619,1558.14,1556.99,1.14,0.01,1558.13,1557
6.4094,1601,1546.9,1545.74,1.14,0.01,1546.88,1545.75
6.4596,1545,1535.85,1534.69,1.15,0.01,1535.84,1534.7
6.5097,1571,1525,1523.83,1.16,0.01,1524.99,1523.84
6.5598,1589,1514.35,1513.17,1.16,0.01,1514.33,1513.18
6.61,1554,1503.89,1502.71,1.17,0.01,1503.88,1502.72
6.6601,1514,1493.64,1492.45,1.18,0.01,1493.63,1492.46
6.7102,1417,1483.59,1482.39,1.18,0.01,1483.57,1482.4
6.7604,1487,1473.74,1472.53,1.19,0.01,1473.72,1472.54
6.8105,1450,1464.09,1462.88,1.2,0.01,1464.08,1462.89
6.8607,1459,1454.64,1453.42,1.2,0.01,1454.62,1453.43
6.9108,1490,1445.38,1444.15,1.21,0.01,1445.36,1444.16
6.9609,1487,1436.31,1435.08,1.22,0.01,1436.3,1435.09
7.0111,1433,1427.43,1426.19,1.23,0.01,1427.42,1426.2
7.0612,1469,1418.73,1417.49,1.23,0.01,1418.72,1417.5
7.1113,1459,1410.22,1408.96,1.24,0.01,1410.2,1408.97
7.1615,1427,1401.87,1400.61,1.25,0.01,1401.86,1400.62
7.2116,1383,1393.69,1392.42,1.25,0.01,1393.67,1392.43
7.2618,1360,1385.67,1384.4,1.26,0.01,1385.66,1384.41
7.3119,1397,1377.81,1376.53,1.27,0.01,1377.8,1376.54
7.362,1350,1370.1,1368.81,1.28,0.01,1370.09,1368.82
7.4122,1335,1362.54,1361.24,1.28,0.01,1362.52,1361.25
