Angle,Observed,Calculated,Background,Dolomite_nb,Halite_nb,Quartz_nb,Dolomite,Halite,Quartz
4.0028,2111,2170.72,2169.96,0.01,0,0.74,2169.97,2169.96,2170.7
4.053,2093,2134.34,2133.58,0.01,0,0.74,2133.59,2133.58,2134.32
4.1031,2089,2105.74,2104.97,0.01,0,0.75,2104.98,2104.97,2105.72
4.1533,2109,2083.31,2082.54,0.01,0,0.75,2082.55,2082.54,2083.29
4.2034,2089,2065.74,2064.97,0.01,0,0.76,2064.98,2064.97,2065.73
4.2535,2042,2051.92,2051.15,0.01,0,0.76,2051.16,2051.15,2051.91
4.3037,2106,2040.95,2040.17,0.01,0,0.77,2040.18,2040.17,2040.94
4.3538,2062,2032.06,2031.28,0.02,0,0.77,2031.3,2031.28,2032.05
4.4039,2039,2024.66,2023.86,0.02,0,0.78,2023.88,2023.86,2024.64
4.4541,2036,2018.23,2017.44,0.02,0,0.78,2017.46,2017.44,2018.22
4.5042,2012,2012.38,2011.58,0.02,0,0.78,2011.6,2011.58,2012.36
4.5544,2098,2006.8,2005.99,0.02,0,0.79,2006.01,2005.99,2006.78
4.6045,2080,2001.22,2000.41,0.02,0,0.79,2000.43,2000.41,2001.2
4.6546,2073,1995.47,1994.65,0.02,0,0.8,1994.67,1994.65,1995.45
4.7048,1957,1989.38,1988.56,0.02,0,0.8,1988.58,1988.56,1989.36
4.7549,2003,1982.87,1982.05,0.02,0,0.81,1982.07,1982.05,1982.86
4.805,2001,1975.86,1975.03,0.02,0,0.81,1975.05,1975.03,1975.84
4.8552,1906,1968.3,1967.47,0.02,0,0.82,1967.49,1967.47,1968.29
4.9053,1978,1960.17,1959.33,0.02,0,0.82,1959.35,1959.33,1960.15
4.9554,1901,1951.47,1950.63,0.02,0,0.83,1950.65,1950.63,1951.46
5.0056,1940,1942.2,1941.35,0.02,0,0.83,1941.37,1941.35,1942.18
5.0557,1929,1932.39,1931.53,0.02,0,0.84,1931.55,1931.53,1932.37
5.1059,1878,1922.06,1921.2,0.02,0,0.84,1921.22,1921.2,1922.04
5.156,1865,1911.24,1910.37,0.02,0,0.85,1910.39,1910.37,1911.22
5.2061,1834,1899.97,1899.1,0.02,0,0.85,1899.12,1899.1,1899.95
5.2563,1835,1888.3,1887.43,0.02,0,0.86,1887.45,1887.43,1888.29
5.3064,1857,1876.26,1875.39,0.02,0,0.86,1875.41,1875.39,1876.25
5.3565,1805,1863.91,1863.03,0.02,0,0.87,1863.05,1863.03,1863.9
5.4067,1749,1851.29,1850.4,0.02,0,0.87,1850.42,1850.4,1851.27
5.4568,1820,1838.43,1837.53,0.02,0,0.88,1837.55,1837.53,1838.41
5.507,1751,1825.37,1824.48,0.02,0,0.88,1824.5,1824.48,1825.36
5.5571,1731,1812.17,1811.27,0.02,0,0.89,1811.29,1811.27,1812.16
5.6072,1794,1798.86,1797.95,0.02,0,0.89,1797.97,1797.95,1798.84
5.6574,1767,1785.47,1784.55,0.02,0,0.9,1784.57,1784.55,1785.45
5.7075,1780,1772.03,1771.12,0.02,0,0.9,1771.14,1771.12,1772.02
5.7576,1710,1758.59,1757.67,0.02,0,0.91,1757.69,1757.67,1758.58
5.8078,1739,1745.17,1744.24,0.02,0,0.91,1744.26,1744.24,1745.15
5.8579,1774,1731.78,1730.85,0.02,0,0.92,1730.87,1730.85,1731.77
5.9081,1780,1718.47,1717.53,0.02,0,0.92,1717.55,1717.53,1718.45
5.9582,1713,1705.25,1704.31,0.02,0,0.93,1704.33,1704.31,1705.24
6.0083,1655,1692.14,1691.19,0.02,0,0.93,1691.21,1691.19,1692.12
6.0585,1661,1679.16,1678.21,0.02,0,0.94,1678.23,1678.21,1679.15
6.1086,1704,1666.33,1665.37,0.02,0,0.94,1665.39,1665.37,1666.31
6.1587,1713,1653.65,1652.68,0.02,0,0.95,1652.7,1652.68,1653.63
6.2089,1677,1641.14,1640.17,0.02,0,0.95,1640.19,1640.17,1641.12
6.259,1669,1628.81,1627.83,0.02,0,0.96,1627.85,1627.83,1628.79
6.3092,1705,1616.67,1615.69,0.02,0,0.96,1615.71,1615.69,1616.65
6.3593,1586,1604.72,1603.73,0.02,0,0.97,1603.75,1603.73,1604.7
6.4094,1594,1592.97,1591.98,0.02,0,0.97,1592,1591.98,1592.95
6.4596,1611,1581.43,1580.43,0.02,0,0.98,1580.45,1580.43,1581.41
6.5097,1683,1570.09,1569.09,0.02,0,0.99,1569.11,1569.09,1570.08
6.5598,1614,1558.96,1557.95,0.02,0,0.99,1557.97,1557.95,1558.94
6.61,1509,1548.04,1547.02,0.02,0,1,1547.04,1547.02,1548.02
6.6601,1584,1537.33,1536.31,0.02,0,1,1536.33,1536.31,1537.31
6.7102,1580,1526.82,1525.8,0.02,0,1.01,1525.82,1525.8,1526.81
6.7604,1530,1516.52,1515.49,0.02,0,1.01,1515.51,1515.49,1516.5
6.8105,1498,1506.43,1505.39,0.02,0,1.02,1505.41,1505.39,1506.41
6.8607,1571,1496.53,1495.48,0.02,0,1.03,1495.5,1495.48,1496.51
6.9108,1507,1486.83,1485.78,0.02,0,1.03,1485.8,1485.78,1486.81
6.9609,1540,1477.32,1476.26,0.02,0,1.04,1476.28,1476.26,1477.3
7.0111,1483,1468,1466.93,0.02,0,1.04,1466.95,1466.93,1467.97
