Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
4.0028,2025,2125.5,2124.69,0.01,0.8,2124.7,2125.49
4.053,2027,2070.32,2069.51,0.01,0.8,2069.52,2070.31
4.1031,1956,2026.12,2025.3,0.01,0.81,2025.31,2026.11
4.1533,2055,1990.75,1989.93,0.01,0.81,1989.94,1990.74
4.2034,1959,1962.44,1961.61,0.01,0.82,1961.62,1962.43
4.2535,2030,1939.7,1938.87,0.01,0.82,1938.88,1939.69
4.3037,2061,1921.3,1920.46,0.01,0.83,1920.47,1921.29
4.3538,1947,1906.22,1905.38,0.01,0.83,1905.39,1906.21
4.4039,1952,1893.61,1892.77,0.01,0.84,1892.78,1893.61
4.4541,1948,1882.79,1881.94,0.01,0.84,1881.95,1882.78
4.5042,1895,1873.2,1872.35,0.01,0.85,1872.36,1873.2
4.5544,1884,1864.4,1863.53,0.01,0.85,1863.54,1864.38
4.6045,1905,1856.01,1855.15,0.01,0.86,1855.16,1856.01
4.6546,1789,1847.77,1846.9,0.01,0.86,1846.91,1847.76
4.7048,1789,1839.46,1838.58,0.01,0.87,1838.59,1839.45
4.7549,1894,1830.91,1830.03,0.01,0.87,1830.04,1830.9
4.805,1780,1822.01,1821.13,0.01,0.88,1821.14,1822.01
4.8552,1842,1812.69,1811.8,0.01,0.88,1811.81,1812.68
4.9053,1784,1802.89,1801.99,0.01,0.89,1802,1802.88
4.9554,1733,1792.58,1791.67,0.01,0.89,1791.68,1792.56
5.0056,1704,1781.75,1780.85,0.01,0.9,1780.86,1781.75
5.0557,1723,1770.43,1769.51,0.01,0.91,1769.52,1770.42
5.1059,1685,1758.62,1757.71,0.01,0.91,1757.72,1758.62
5.156,1725,1746.37,1745.44,0.01,0.92,1745.45,1746.36
5.2061,1679,1733.7,1732.77,0.01,0.92,1732.78,1733.69
5.2563,1701,1720.66,1719.72,0.01,0.93,1719.73,1720.65
5.3064,1649,1707.29,1706.35,0.01,0.93,1706.36,1707.28
5.3565,1701,1693.64,1692.7,0.01,0.94,1692.71,1693.64
5.4067,1565,1679.76,1678.81,0.01,0.94,1678.82,1679.75
5.4568,1650,1665.7,1664.75,0.01,0.95,1664.76,1665.7
5.507,1640,1651.5,1650.54,0.01,0.95,1650.55,1651.49
5.5571,1644,1637.21,1636.24,0.01,0.96,1636.25,1637.2
5.6072,1571,1622.87,1621.89,0.01,0.96,1621.9,1622.85
5.6574,1605,1608.51,1607.54,0.01,0.97,1607.55,1608.51
5.7075,1564,1594.19,1593.21,0.01,0.97,1593.22,1594.18
5.7576,1499,1579.93,1578.95,0.01,0.98,1578.96,1579.93
5.8078,1598,1565.77,1564.78,0.01,0.99,1564.79,1565.77
5.8579,1570,1551.74,1550.74,0.01,0.99,1550.75,1551.73
5.9081,1539,1537.86,1536.86,0.01,1,1536.87,1537.86
5.9582,1584,1524.16,1523.15,0.01,1,1523.16,1524.15
6.0083,1535,1510.67,1509.65,0.01,1.01,1509.66,1510.66
6.0585,1564,1497.39,1496.37,0.01,1.01,1496.38,1497.38
6.1086,1510,1484.35,1483.33,0.01,1.02,1483.34,1484.35
6.1587,1540,1471.57,1470.53,0.01,1.03,1470.54,1471.56
6.2089,1565,1459.04,1458,0.01,1.03,1458.01,1459.03
6.259,1482,1446.8,1445.75,0.01,1.04,1445.76,1446.79
6.3092,1517,1434.83,1433.78,0.01,1.04,1433.79,1434.82
6.3593,1435,1423.15,1422.1,0.01,1.05,1422.11,1423.15
6.4094,1432,1411.77,1410.71,0.01,1.05,1410.72,1411.76
6.4596,1463,1400.68,1399.61,0.01,1.06,1399.62,1400.67
6.5097,1418,1389.89,1388.81,0.01,1.07,1388.82,1389.88
6.5598,1368,1379.39,1378.31,0.01,1.07,1378.32,1379.38
6.61,1440,1369.2,1368.11,0.01,1.08,1368.12,1369.19
6.6601,1329,1359.29,1358.2,0.01,1.08,1358.21,1359.28
6.7102,1346,1349.68,1348.58,0.01,1.09,1348.59,1349.67
6.7604,1324,1340.35,1339.24,0.01,1.1,1339.25,1340.34
6.8105,1459,1331.3,1330.19,0.01,1.1,1330.2,1331.29
6.8607,1368,1322.53,1321.41,0.01,1.11,1321.42,1322.52
6.9108,1323,1314.02,1312.9,0.01,1.12,1312.91,1314.02
6.9609,1338,1305.78,1304.65,0.01,1.12,1304.66,1305.77
7.0111,1364,1297.8,1296.66,0.01,1.13,1296.67,1297.79
7.0612,1288,1290.06,1288.91,0.01,1.14,1288.92,1290.05
7.1113,1242,1282.55,1281.4,0.01,1.14,1281.41,1282.54
7.1615,1287,1275.28,1274.12,0.01,1.15,1274.13,1275.27
7.2116,1258,1268.23,1267.07,0.01,1.16,1267.08,1268.23
7.2618,1217,1261.4,1260.23,0.01,1.16,1260.24,1261.39
7.3119,1245,1254.77,1253.59,0.01,1.17,1253.6,1254.76
7.362,1300,1248.33,1247.15,0.01,1.18,1247.16,1248.33
7.4122,1243,1242.08,1240.89,0.01,1.18,1240.9,1242.07
7.4623,1237,1236.01,1234.81,0.01,1.19,1234.82,1236
7.5124,1252,1230.11,1228.9,0.01,1.2,1228.91,1230.1
7.5626,1227,1224.37,1223.16,0.01,1.2,1223.17,1224.36
7.6127,1248,1218.78,1217.56,0.01,1.21,1217.57,1218.77
7.6629,1177,1213.34,1212.11,0.01,1.22,1212.12,1213.33
7.713,1113,1208.03,1206.79,0.01,1.23,1206.8,1208.02
7.7631,1226,1202.84,1201.6,0.01,1.23,1201.61,1202.83
7.8133,1137,1197.78,1196.53,0.01,1.24,1196.54,1197.77
7.8634,1153,1192.83,1191.57,0.01,1.25,1191.58,1192.82
7.9135,1272,1187.98,1186.71,0.01,1.25,1186.72,1187.96
7.9637,1192,1183.23,1181.96,0.01,1.26,1181.97,1183.22
8.0138,1128,1178.57,1177.29,0.01,1.27,1177.3,1178.56
8.064,1072,1173.99,1172.7,0.01,1.28,1172.71,1173.98
8.1141,1147,1169.48,1168.19,0.01,1.28,1168.2,1169.47
8.1642,1104,1165.05,1163.75,0.01,1.29,1163.76,1165.04
8.2144,1183,1160.68,1159.38,0.01,1.3,1159.39,1160.68
8.2645,1079,1156.37,1155.06,0.01,1.31,1155.07,1156.37
8.3146,1150,1152.12,1150.79,0.01,1.31,1150.8,1152.1
8.3648,1114,1147.91,1146.58,0.01,1.32,1146.59,1147.9
8.4149,1172,1143.74,1142.4,0.01,1.33,1142.41,1143.73
8.465,1115,1139.61,1138.27,0.01,1.34,1138.28,1139.61
8.5152,1171,1135.52,1134.16,0.01,1.34,1134.17,1135.5
8.5653,1069,1131.45,1130.09,0.01,1.35,1130.1,1131.44
8.6155,1138,1127.41,1126.04,0.01,1.36,1126.05,1127.4
8.6656,1167,1123.39,1122.01,0.01,1.37,1122.02,1123.38
8.7157,1093,1119.39,1118,0.01,1.37,1118.01,1119.37
8.7659,1150,1115.4,1114,0.01,1.38,1114.01,1115.38
8.816,1159,1111.42,1110.02,0.01,1.39,1110.03,1111.41
