Angle,Observed,Calculated,Background,Calcite_nb,SiO2_nb,Calcite,SiO2
4.0028,1816,1895.1,1894.38,0.08,0.64,1894.46,1895.02
4.053,1804,1848.51,1847.78,0.08,0.65,1847.86,1848.43
4.1031,1773,1810.79,1810.06,0.08,0.65,1810.14,1810.71
4.1533,1850,1780.14,1779.41,0.08,0.66,1779.49,1780.07
4.2034,1799,1755.08,1754.34,0.08,0.66,1754.42,1755
4.2535,1769,1734.37,1733.63,0.08,0.67,1733.71,1734.3
4.3037,1763,1717,1716.25,0.08,0.67,1716.33,1716.92
4.3538,1775,1702.13,1701.38,0.08,0.67,1701.46,1702.05
4.4039,1687,1689.08,1688.32,0.08,0.68,1688.4,1689
4.4541,1718,1677.3,1676.54,0.08,0.68,1676.62,1677.22
4.5042,1740,1666.36,1665.59,0.08,0.69,1665.67,1666.28
4.5544,1648,1655.9,1655.13,0.08,0.69,1655.21,1655.82
4.6045,1618,1645.65,1644.88,0.08,0.69,1644.96,1645.57
4.6546,1561,1635.41,1634.63,0.08,0.7,1634.71,1635.33
4.7048,1625,1625.03,1624.24,0.08,0.7,1624.32,1624.94
4.7549,1657,1614.38,1613.6,0.08,0.71,1613.68,1614.31
4.805,1615,1603.41,1602.62,0.08,0.71,1602.7,1603.33
4.8552,1535,1592.06,1591.26,0.08,0.71,1591.34,1591.97
4.9053,1627,1580.31,1579.51,0.08,0.72,1579.59,1580.23
4.9554,1613,1568.16,1567.35,0.08,0.72,1567.43,1568.07
5.0056,1577,1555.62,1554.81,0.08,0.73,1554.89,1555.54
5.0557,1501,1542.71,1541.89,0.08,0.73,1541.97,1542.62
5.1059,1459,1529.46,1528.64,0.08,0.74,1528.72,1529.38
5.156,1406,1515.91,1515.08,0.08,0.74,1515.16,1515.82
5.2061,1465,1502.1,1501.27,0.09,0.74,1501.36,1502.01
5.2563,1490,1488.07,1487.24,0.09,0.75,1487.33,1487.99
5.3064,1499,1473.87,1473.03,0.09,0.75,1473.12,1473.78
5.3565,1411,1459.55,1458.71,0.09,0.76,1458.8,1459.47
5.4067,1325,1445.14,1444.29,0.09,0.76,1444.38,1445.05
5.4568,1417,1430.7,1429.85,0.09,0.77,1429.94,1430.62
5.507,1449,1416.26,1415.4,0.09,0.77,1415.49,1416.17
5.5571,1386,1401.86,1401,0.09,0.77,1401.09,1401.77
5.6072,1398,1387.54,1386.67,0.09,0.78,1386.76,1387.45
5.6574,1346,1373.33,1372.46,0.09,0.78,1372.55,1373.24
5.7075,1322,1359.27,1358.4,0.09,0.79,1358.49,1359.19
5.7576,1375,1345.39,1344.51,0.09,0.79,1344.6,1345.3
5.8078,1354,1331.7,1330.82,0.09,0.8,1330.91,1331.62
5.8579,1282,1318.24,1317.35,0.09,0.8,1317.44,1318.15
5.9081,1334,1305.03,1304.13,0.09,0.8,1304.22,1304.93
5.9582,1300,1292.07,1291.17,0.09,0.81,1291.26,1291.98
6.0083,1222,1279.4,1278.49,0.09,0.81,1278.58,1279.3
6.0585,1267,1267.02,1266.11,0.09,0.82,1266.2,1266.93
6.1086,1248,1254.94,1254.02,0.09,0.82,1254.11,1254.84
6.1587,1308,1243.17,1242.24,0.09,0.83,1242.33,1243.07
6.2089,1225,1231.71,1230.79,0.09,0.83,1230.88,1231.62
6.259,1291,1220.58,1219.65,0.09,0.84,1219.74,1220.49
6.3092,1202,1209.78,1208.84,0.09,0.84,1208.93,1209.68
6.3593,1241,1199.3,1198.36,0.1,0.85,1198.46,1199.21
6.4094,1234,1189.15,1188.2,0.1,0.85,1188.3,1189.05
6.4596,1237,1179.32,1178.37,0.1,0.86,1178.47,1179.23
6.5097,1174,1169.82,1168.86,0.1,0.86,1168.96,1169.72
6.5598,1192,1160.63,1159.67,0.1,0.87,1159.77,1160.54
6.61,1153,1151.76,1150.8,0.1,0.87,1150.9,1151.67
6.6601,1194,1143.2,1142.23,0.1,0.88,1142.33,1143.11
6.7102,1102,1134.95,1133.97,0.1,0.88,1134.07,1134.85
6.7604,1104,1126.98,1126,0.1,0.89,1126.1,1126.89
6.8105,1107,1119.31,1118.32,0.1,0.89,1118.42,1119.21
