Angle,Observed,Calculated,Background,Quartz_nb,Quartz
4.0028,1882,1975.2,1974.37,0.83,1975.2
4.053,1885,1912.94,1912.1,0.84,1912.94
4.1031,1820,1863.51,1862.67,0.84,1863.51
4.1533,1867,1824.5,1823.65,0.85,1824.5
4.2034,1862,1793.92,1793.07,0.85,1793.92
4.2535,1830,1770.06,1769.21,0.86,1770.07
4.3037,1817,1751.53,1750.67,0.86,1751.53
4.3538,1824,1737.13,1736.27,0.87,1737.14
4.4039,1717,1725.91,1725.04,0.87,1725.91
4.4541,1690,1717.04,1716.17,0.88,1717.05
4.5042,1719,1709.87,1708.99,0.88,1709.87
4.5544,1760,1703.87,1702.98,0.89,1703.87
4.6045,1729,1698.58,1697.69,0.89,1698.58
4.6546,1644,1693.67,1692.77,0.9,1693.67
4.7048,1661,1688.87,1687.97,0.9,1688.87
4.7549,1685,1683.96,1683.05,0.91,1683.96
4.805,1704,1678.78,1677.87,0.91,1678.78
4.8552,1670,1673.22,1672.3,0.92,1673.22
4.9053,1629,1667.2,1666.27,0.93,1667.2
4.9554,1682,1660.65,1659.72,0.93,1660.65
5.0056,1626,1653.56,1652.63,0.94,1653.57
5.0557,1624,1645.92,1644.98,0.94,1645.92
5.1059,1574,1637.73,1636.78,0.95,1637.73
5.156,1611,1629,1628.05,0.95,1629
5.2061,1609,1619.77,1618.82,0.96,1619.78
5.2563,1560,1610.08,1609.11,0.96,1610.07
5.3064,1537,1599.95,1598.98,0.97,1599.95
5.3565,1535,1589.43,1588.46,0.97,1589.43
5.4067,1492,1578.58,1577.6,0.98,1578.58
5.4568,1494,1567.42,1566.44,0.99,1567.43
5.507,1543,1556.01,1555.02,0.99,1556.01
5.5571,1550,1544.4,1543.4,1,1544.4
5.6072,1559,1532.62,1531.62,1,1532.62
5.6574,1482,1520.72,1519.71,1.01,1520.72
5.7075,1525,1508.74,1507.73,1.01,1508.74
5.7576,1534,1496.72,1495.7,1.02,1496.72
5.8078,1478,1484.69,1483.66,1.03,1484.69
5.8579,1497,1472.69,1471.66,1.03,1472.69
5.9081,1501,1460.74,1459.7,1.04,1460.74
5.9582,1500,1448.88,1447.83,1.04,1448.87
6.0083,1480,1437.12,1436.07,1.05,1437.12
6.0585,1453,1425.5,1424.45,1.05,1425.5
6.1086,1428,1414.03,1412.97,1.06,1414.03
6.1587,1427,1402.74,1401.67,1.07,1402.74
6.2089,1400,1391.63,1390.56,1.07,1391.63
6.259,1391,1380.72,1379.64,1.08,1380.72
6.3092,1429,1370.03,1368.94,1.08,1370.02
6.3593,1392,1359.55,1358.46,1.09,1359.55
6.4094,1362,1349.31,1348.21,1.1,1349.31
6.4596,1342,1339.3,1338.2,1.1,1339.3
6.5097,1381,1329.54,1328.43,1.11,1329.54
6.5598,1368,1320.02,1318.9,1.12,1320.02
6.61,1342,1310.74,1309.62,1.12,1310.74
6.6601,1264,1301.71,1300.58,1.13,1301.71
6.7102,1281,1292.93,1291.8,1.14,1292.94
6.7604,1319,1284.39,1283.25,1.14,1284.39
6.8105,1304,1276.1,1274.95,1.15,1276.1
6.8607,1330,1268.05,1266.89,1.16,1268.05
6.9108,1318,1260.23,1259.06,1.16,1260.22
6.9609,1249,1252.64,1251.47,1.17,1252.64
7.0111,1236,1245.27,1244.1,1.18,1245.28
7.0612,1251,1238.13,1236.95,1.18,1238.13
7.1113,1237,1231.2,1230.01,1.19,1231.2
