Angle,Observed,Calculated,Background,Calcite_nb,Quartz_nb,Calcite,Quartz
4.0233,1814,1865.15,1864.59,0.15,0.41,1864.74,1865
4.0745,1803,1803.6,1803.03,0.15,0.41,1803.18,1803.44
4.1256,1674,1753.42,1752.85,0.15,0.41,1753,1753.26
4.1768,1723,1712.59,1712.02,0.16,0.42,1712.18,1712.44
4.228,1770,1679.35,1678.77,0.16,0.42,1678.93,1679.19
4.2791,1726,1652.22,1651.64,0.16,0.42,1651.8,1652.06
4.3303,1609,1629.97,1629.39,0.16,0.42,1629.55,1629.81
4.3814,1704,1611.59,1611.01,0.16,0.43,1611.17,1611.44
4.4326,1560,1596.21,1595.62,0.16,0.43,1595.78,1596.05
4.4838,1640,1583.13,1582.54,0.16,0.43,1582.7,1582.97
4.5349,1559,1571.76,1571.16,0.16,0.43,1571.32,1571.59
4.5861,1542,1561.61,1561.01,0.16,0.44,1561.17,1561.45
4.6373,1552,1552.31,1551.71,0.16,0.44,1551.87,1552.15
4.6884,1600,1543.55,1542.94,0.16,0.44,1543.1,1543.38
4.7396,1485,1535.06,1534.45,0.16,0.45,1534.61,1534.9
4.7907,1543,1526.66,1526.04,0.17,0.45,1526.21,1526.49
4.8419,1515,1518.19,1517.58,0.17,0.45,1517.75,1518.03
4.8931,1447,1509.55,1508.93,0.17,0.45,1509.1,1509.38
4.9442,1469,1500.65,1500.03,0.17,0.46,1500.2,1500.49
4.9954,1460,1491.44,1490.81,0.17,0.46,1490.98,1491.27
5.0465,1488,1481.88,1481.25,0.17,0.46,1481.42,1481.71
5.0977,1496,1471.95,1471.32,0.17,0.46,1471.49,1471.78
5.1489,1439,1461.66,1461.02,0.17,0.47,1461.19,1461.49
5.2,1468,1451,1450.36,0.17,0.47,1450.53,1450.83
5.2512,1460,1440,1439.35,0.17,0.47,1439.52,1439.82
5.3023,1402,1428.67,1428.02,0.17,0.47,1428.19,1428.49
5.3535,1436,1417.05,1416.4,0.17,0.48,1416.57,1416.88
5.4047,1355,1405.16,1404.5,0.18,0.48,1404.68,1404.98
5.4558,1386,1393.04,1392.38,0.18,0.48,1392.56,1392.86
5.507,1423,1380.72,1380.06,0.18,0.49,1380.24,1380.55
5.5582,1289,1368.24,1367.57,0.18,0.49,1367.75,1368.06
5.6093,1352,1355.62,1354.95,0.18,0.49,1355.13,1355.44
5.6605,1301,1342.92,1342.24,0.18,0.49,1342.42,1342.73
5.7116,1318,1330.15,1329.47,0.18,0.5,1329.65,1329.97
5.7628,1361,1317.36,1316.67,0.18,0.5,1316.85,1317.17
5.814,1290,1304.56,1303.88,0.18,0.5,1304.06,1304.38
5.8651,1339,1291.8,1291.11,0.18,0.51,1291.29,1291.62
5.9163,1297,1279.09,1278.39,0.18,0.51,1278.57,1278.9
5.9674,1231,1266.46,1265.76,0.19,0.51,1265.95,1266.27
6.0186,1198,1253.93,1253.23,0.19,0.51,1253.42,1253.74
6.0698,1200,1241.53,1240.83,0.19,0.52,1241.02,1241.35
6.1209,1216,1229.28,1228.57,0.19,0.52,1228.76,1229.09
6.1721,1212,1217.18,1216.47,0.19,0.52,1216.66,1216.99
6.2232,1239,1205.26,1204.54,0.19,0.53,1204.73,1205.07
6.2744,1214,1193.53,1192.81,0.19,0.53,1193,1193.34
6.3256,1172,1182,1181.28,0.19,0.53,1181.47,1181.81
6.3767,1196,1170.68,1169.95,0.19,0.54,1170.14,1170.49
6.4279,1128,1159.58,1158.85,0.19,0.54,1159.04,1159.39
6.4791,1170,1148.71,1147.97,0.19,0.54,1148.16,1148.51
6.5302,1170,1138.07,1137.33,0.2,0.55,1137.53,1137.88
6.5814,1109,1127.66,1126.92,0.2,0.55,1127.12,1127.47
