Angle,Observed,Calculated,Background,Quartz_nb,Calcite_nb,Quartz,Calcite
4.0233,2260,2259.89,2258.9,0.99,0.01,2259.89,2258.91
4.0745,2155,2196.83,2195.83,0.99,0.01,2196.82,2195.84
4.1256,2182,2145.07,2144.07,1,0.01,2145.07,2144.08
4.1768,2067,2102.48,2101.47,1.01,0.01,2102.48,2101.48
4.228,2014,2067.52,2066.5,1.01,0.01,2067.51,2066.51
4.2791,2032,2038.84,2037.82,1.02,0.01,2038.84,2037.83
4.3303,2007,2015.2,2014.17,1.02,0.01,2015.19,2014.18
4.3814,2037,1995.67,1994.63,1.03,0.01,1995.66,1994.64
4.4326,2041,1979.35,1978.31,1.04,0.01,1979.35,1978.32
4.4838,2060,1965.6,1964.56,1.04,0.01,1965.6,1964.57
4.5349,1959,1953.86,1952.8,1.05,0.01,1953.85,1952.81
4.5861,1976,1943.59,1942.53,1.05,0.01,1943.58,1942.54
4.6373,1996,1934.42,1933.35,1.06,0.01,1934.41,1933.36
4.6884,1884,1926.05,1924.98,1.07,0.01,1926.05,1924.99
4.7396,1929,1918.17,1917.09,1.07,0.01,1918.16,1917.1
4.7907,1892,1910.61,1909.52,1.08,0.01,1910.6,1909.53
4.8419,1932,1903.16,1902.07,1.09,0.01,1903.16,1902.08
4.8931,1979,1895.71,1894.61,1.09,0.01,1895.7,1894.62
4.9442,1904,1888.17,1887.06,1.1,0.01,1888.16,1887.07
4.9954,1791,1880.43,1879.32,1.11,0.01,1880.43,1879.33
5.0465,1832,1872.47,1871.35,1.11,0.01,1872.46,1871.36
5.0977,1885,1864.21,1863.09,1.12,0.01,1864.21,1863.1
5.1489,1725,1855.66,1854.53,1.12,0.01,1855.65,1854.54
5.2,1825,1846.81,1845.67,1.13,0.01,1846.8,1845.68
5.2512,1768,1837.64,1836.49,1.14,0.01,1837.63,1836.5
5.3023,1786,1828.17,1827.02,1.14,0.01,1828.16,1827.03
5.3535,1785,1818.4,1817.24,1.15,0.01,1818.39,1817.25
5.4047,1789,1808.35,1807.18,1.16,0.01,1808.34,1807.19
5.4558,1774,1798.06,1796.89,1.16,0.01,1798.05,1796.9
5.507,1745,1787.51,1786.33,1.17,0.01,1787.5,1786.34
5.5582,1751,1776.75,1775.57,1.18,0.01,1776.75,1775.58
5.6093,1813,1765.83,1764.64,1.19,0.01,1765.83,1764.65
5.6605,1697,1754.73,1753.53,1.19,0.01,1754.72,1753.54
5.7116,1823,1743.51,1742.3,1.2,0.01,1743.5,1742.31
5.7628,1709,1732.16,1730.94,1.21,0.01,1732.15,1730.95
5.814,1660,1720.72,1719.5,1.21,0.01,1720.71,1719.51
5.8651,1705,1709.24,1708.01,1.22,0.01,1709.23,1708.02
5.9163,1789,1697.7,1696.46,1.23,0.01,1697.69,1696.47
5.9674,1728,1686.15,1684.91,1.23,0.01,1686.14,1684.92
6.0186,1755,1674.59,1673.34,1.24,0.01,1674.58,1673.35
6.0698,1618,1663.04,1661.79,1.25,0.01,1663.04,1661.8
6.1209,1698,1651.56,1650.29,1.26,0.01,1651.55,1650.3
6.1721,1630,1640.1,1638.83,1.26,0.01,1640.09,1638.84
6.2232,1605,1628.72,1627.45,1.27,0.01,1628.72,1627.46
6.2744,1656,1617.4,1616.12,1.28,0.01,1617.4,1616.13
6.3256,1636,1606.17,1604.88,1.28,0.01,1606.16,1604.89
6.3767,1572,1595.07,1593.77,1.29,0.01,1595.06,1593.78
6.4279,1611,1584.05,1582.74,1.3,0.01,1584.04,1582.75
6.4791,1600,1573.14,1571.83,1.31,0.01,1573.14,1571.84
6.5302,1579,1562.38,1561.06,1.31,0.01,1562.37,1561.07
6.5814,1600,1551.73,1550.4,1.32,0.01,1551.72,1550.41
6.6325,1551,1541.23,1539.9,1.33,0.01,1541.23,1539.91
6.6837,1616,1530.86,1529.51,1.34,0.01,1530.85,1529.52
6.7349,1538,1520.62,1519.27,1.35,0.01,1520.62,1519.28
6.786,1532,1510.54,1509.18,1.35,0.01,1510.53,1509.19
6.8372,1502,1500.59,1499.23,1.36,0.01,1500.59,1499.24
6.8883,1550,1490.81,1489.43,1.37,0.01,1490.8,1489.44
6.9395,1519,1481.15,1479.77,1.38,0.01,1481.15,1479.78
6.9907,1510,1471.64,1470.25,1.39,0.01,1471.64,1470.26
7.0418,1471,1462.29,1460.89,1.39,0.01,1462.28,1460.9
7.093,1437,1453.07,1451.66,1.4,0.01,1453.06,1451.67
7.1441,1479,1444.01,1442.59,1.41,0.01,1444,1442.6
7.1953,1471,1435.07,1433.64,1.42,0.01,1435.06,1433.65
7.2465,1454,1426.27,1424.83,1.43,0.01,1426.26,1424.84
7.2976,1415,1417.62,1416.17,1.44,0.01,1417.61,1416.18
7.3488,1436,1409.08,1407.63,1.44,0.01,1409.07,1407.64
7.4,1471,1400.68,1399.22,1.45,0.01,1400.67,1399.23
7.4511,1414,1392.41,1390.95,1.46,0.01,1392.41,1390.96
7.5023,1353,1384.26,1382.78,1.47,0.01,1384.25,1382.79
7.5534,1329,1376.24,1374.75,1.48,0.01,1376.23,1374.76
7.6046,1320,1368.32,1366.82,1.49,0.01,1368.31,1366.83
7.6558,1344,1360.51,1359,1.5,0.01,1360.5,1359.01
7.7069,1378,1352.82,1351.31,1.51,0.01,1352.82,1351.32
7.7581,1349,1345.23,1343.7,1.51,0.01,1345.21,1343.71
7.8092,1232,1337.75,1336.22,1.52,0.01,1337.74,1336.23
7.8604,1250,1330.35,1328.81,1.53,0.01,1330.34,1328.82
7.9116,1315,1323.04,1321.5,1.54,0.01,1323.04,1321.51
7.9627,1313,1315.84,1314.29,1.55,0.01,1315.84,1314.3
8.0139,1289,1308.72,1307.15,1.56,0.01,1308.71,1307.16
8.065,1254,1301.68,1300.11,1.57,0.01,1301.68,1300.12
8.1162,1225,1294.72,1293.13,1.58,0.01,1294.71,1293.14
8.1674,1317,1287.83,1286.23,1.59,0.01,1287.82,1286.24
8.2185,1291,1281.02,1279.42,1.6,0.01,1281.02,1279.43
8.2697,1285,1274.27,1272.66,1.61,0.01,1274.27,1272.67
8.3209,1248,1267.59,1265.97,1.62,0.01,1267.59,1265.98
8.372,1225,1260.98,1259.35,1.62,0.01,1260.97,1259.36
8.4232,1292,1254.42,1252.78,1.63,0.01,1254.41,1252.79
8.4743,1242,1247.93,1246.28,1.64,0.01,1247.92,1246.29
8.5255,1169,1241.49,1239.82,1.65,0.01,1241.47,1239.83
8.5767,1256,1235.09,1233.42,1.66,0.01,1235.08,1233.43
8.6278,1256,1228.75,1227.07,1.67,0.01,1228.74,1227.08
8.679,1239,1222.45,1220.76,1.68,0.01,1222.44,1220.77
8.7301,1196,1216.21,1214.51,1.69,0.01,1216.2,1214.52
8.7813,1155,1210,1208.29,1.7,0.01,1209.99,1208.3
8.8325,1141,1203.83,1202.11,1.71,0.01,1203.82,1202.12
8.8836,1224,1197.71,1195.97,1.72,0.01,1197.69,1195.98
8.9348,1154,1191.61,1189.87,1.73,0.01,1191.6,1189.88
8.9859,1106,1185.56,1183.81,1.74,0.01,1185.55,1183.82
9.0371,1156,1179.53,1177.77,1.76,0.01,1179.53,1177.78
9.0883,1149,1173.53,1171.76,1.77,0.01,1173.53,1171.77
9.1394,1216,1167.58,1165.8,1.78,0.01,1167.58,1165.81
9.1906,1157,1161.64,1159.85,1.79,0.01,1161.64,1159.86
9.2417,1150,1155.75,1153.94,1.8,0.01,1155.74,1153.95
9.2929,1173,1149.86,1148.04,1.81,0.01,1149.85,1148.05
9.3441,1152,1144.01,1142.18,1.82,0.01,1144,1142.19
9.3952,1075,1138.19,1136.34,1.83,0.01,1138.17,1136.35
9.4464,1147,1132.38,1130.52,1.84,0.01,1132.36,1130.53
9.4976,1118,1126.59,1124.73,1.86,0.01,1126.59,1124.74
9.5487,1124,1120.84,1118.96,1.87,0.01,1120.83,1118.97
9.5999,1105,1115.1,1113.21,1.88,0.01,1115.09,1113.22
9.651,1101,1109.39,1107.49,1.89,0.01,1109.38,1107.5
9.7022,1112,1103.69,1101.78,1.9,0.01,1103.68,1101.79
9.7534,1089,1098.01,1096.09,1.92,0.01,1098.01,1096.1
9.8045,1089,1092.37,1090.43,1.93,0.01,1092.36,1090.44
9.8557,1122,1086.73,1084.78,1.94,0.01,1086.72,1084.79
9.9068,1090,1081.12,1079.16,1.95,0.01,1081.11,1079.17
9.958,1033,1075.52,1073.54,1.97,0.01,1075.51,1073.55
10.0092,1074,1069.94,1067.95,1.98,0.01,1069.93,1067.96
10.0603,1088,1064.38,1062.38,1.99,0.01,1064.37,1062.39
10.1115,1062,1058.84,1056.83,2.01,0.01,1058.84,1056.84
10.1626,1071,1053.33,1051.3,2.02,0.01,1053.32,1051.31
10.2138,1024,1047.82,1045.78,2.03,0.01,1047.81,1045.79
10.265,1052,1042.34,1040.28,2.05,0.01,1042.33,1040.29
10.3161,1052,1036.88,1034.81,2.06,0.01,1036.87,1034.82
10.3673,1016,1031.44,1029.35,2.07,0.01,1031.42,1029.36
10.4185,1070,1026.01,1023.91,2.09,0.01,1026,1023.92
10.4696,1049,1020.61,1018.5,2.1,0.01,1020.6,1018.51
10.5208,998,1015.23,1013.1,2.12,0.01,1015.22,1013.11
10.5719,1047,1009.87,1007.73,2.13,0.01,1009.86,1007.74
10.6231,1015,1004.53,1002.38,2.15,0.01,1004.53,1002.39
10.6743,1017,999.21,997.04,2.16,0.01,999.2,997.05
10.7254,997,993.92,991.73,2.18,0.01,993.91,991.74
10.7766,973,988.64,986.44,2.19,0.01,988.63,986.45
10.8277,991,983.39,981.18,2.21,0.01,983.39,981.19
10.8789,960,978.16,975.93,2.22,0.01,978.15,975.94
10.9301,992,972.95,970.7,2.24,0.01,972.94,970.71
10.9812,947,967.78,965.51,2.25,0.01,967.76,965.52
11.0324,1010,962.62,960.34,2.27,0.01,962.61,960.35
11.0835,943,957.49,955.19,2.29,0.01,957.48,955.2
11.1347,999,952.38,950.07,2.3,0.01,952.37,950.08
11.1859,989,947.29,944.97,2.32,0.01,947.29,944.98
