Angle,Observed,Calculated,Background,Quartz_nb,Dolomite_nb,Quartz (SiO2),Dolomite (CaMg(CO3)2)
4.0233,2165,2187.32,2186.5,0.83,0,2187.33,2186.5
4.0745,2054,2127.77,2126.94,0.83,0,2127.77,2126.94
4.1256,2100,2079.75,2078.91,0.84,0,2079.75,2078.91
4.1768,2037,2041.06,2040.21,0.84,0,2041.05,2040.21
4.228,2053,2009.83,2008.98,0.85,0,2009.83,2008.98
4.2791,1935,1984.51,1983.66,0.85,0,1984.51,1983.66
4.3303,1971,1963.83,1962.97,0.86,0,1963.83,1962.97
4.3814,1988,1946.72,1945.85,0.86,0,1946.71,1945.85
4.4326,2007,1932.3,1931.43,0.87,0,1932.3,1931.43
4.4838,2031,1919.87,1918.99,0.87,0,1919.86,1918.99
4.5349,1943,1908.84,1907.96,0.88,0,1908.84,1907.96
4.5861,1869,1898.76,1897.87,0.88,0,1898.75,1897.87
4.6373,1920,1889.24,1888.35,0.89,0,1889.24,1888.35
4.6884,1918,1880,1879.11,0.89,0,1880,1879.11
4.7396,1885,1870.83,1869.92,0.9,0,1870.82,1869.92
4.7907,1892,1861.53,1860.63,0.91,0,1861.54,1860.63
4.8419,1882,1852.01,1851.09,0.91,0,1852,1851.09
4.8931,1768,1842.16,1841.24,0.92,0,1842.16,1841.24
4.9442,1798,1831.94,1831.01,0.92,0,1831.93,1831.01
4.9954,1750,1821.31,1820.38,0.93,0,1821.31,1820.38
5.0465,1723,1810.27,1809.33,0.93,0,1810.26,1809.33
5.0977,1710,1798.81,1797.88,0.94,0,1798.82,1797.88
5.1489,1768,1786.97,1786.03,0.94,0,1786.97,1786.03
5.2,1714,1774.76,1773.81,0.95,0,1774.76,1773.81
5.2512,1767,1762.22,1761.27,0.95,0,1762.22,1761.27
5.3023,1784,1749.39,1748.43,0.96,0,1749.39,1748.43
5.3535,1763,1736.3,1735.33,0.97,0,1736.3,1735.33
5.4047,1703,1723,1722.03,0.97,0,1723,1722.03
5.4558,1640,1709.54,1708.57,0.98,0,1709.55,1708.57
5.507,1711,1695.96,1694.98,0.98,0,1695.96,1694.98
5.5582,1680,1682.3,1681.31,0.99,0,1682.3,1681.31
5.6093,1643,1668.6,1667.6,0.99,0,1668.59,1667.6
5.6605,1605,1654.89,1653.89,1,0,1654.89,1653.89
5.7116,1598,1641.23,1640.22,1.01,0,1641.23,1640.22
5.7628,1649,1627.64,1626.63,1.01,0,1627.64,1626.63
5.814,1607,1614.15,1613.13,1.02,0,1614.15,1613.13
5.8651,1621,1600.79,1599.77,1.02,0,1600.79,1599.77
5.9163,1564,1587.59,1586.56,1.03,0,1587.59,1586.56
5.9674,1661,1574.57,1573.54,1.03,0,1574.57,1573.54
6.0186,1588,1561.76,1560.72,1.04,0,1561.76,1560.72
6.0698,1626,1549.16,1548.11,1.05,0,1549.16,1548.11
6.1209,1552,1536.8,1535.75,1.05,0,1536.8,1535.75
6.1721,1539,1524.69,1523.64,1.06,0,1524.7,1523.64
6.2232,1543,1512.85,1511.78,1.07,0,1512.85,1511.78
6.2744,1533,1501.27,1500.2,1.07,0,1501.27,1500.2
6.3256,1520,1489.97,1488.89,1.08,0,1489.97,1488.89
6.3767,1537,1478.96,1477.87,1.08,0,1478.95,1477.87
6.4279,1465,1468.22,1467.13,1.09,0,1468.22,1467.13
6.4791,1438,1457.78,1456.69,1.1,0,1457.79,1456.69
6.5302,1457,1447.63,1446.52,1.1,0,1447.62,1446.52
6.5814,1412,1437.76,1436.65,1.11,0,1437.76,1436.65
6.6325,1474,1428.18,1427.06,1.12,0,1428.18,1427.06
6.6837,1436,1418.88,1417.75,1.12,0,1418.87,1417.75
6.7349,1430,1409.85,1408.72,1.13,0,1409.85,1408.72
6.786,1425,1401.1,1399.96,1.14,0,1401.1,1399.96
6.8372,1451,1392.61,1391.47,1.14,0,1392.61,1391.47
6.8883,1362,1384.39,1383.24,1.15,0,1384.39,1383.24
6.9395,1394,1376.41,1375.26,1.16,0,1376.42,1375.26
6.9907,1303,1368.69,1367.52,1.16,0,1368.68,1367.52
7.0418,1381,1361.19,1360.02,1.17,0,1361.19,1360.02
7.093,1392,1353.93,1352.75,1.18,0,1353.93,1352.75
7.1441,1386,1346.89,1345.7,1.18,0,1346.88,1345.7
7.1953,1392,1340.05,1338.86,1.19,0,1340.05,1338.86
7.2465,1392,1333.42,1332.22,1.2,0,1333.42,1332.22
7.2976,1323,1326.98,1325.77,1.2,0,1326.97,1325.77
7.3488,1311,1320.72,1319.51,1.21,0,1320.72,1319.51
7.4,1274,1314.64,1313.42,1.22,0,1314.64,1313.42
7.4511,1328,1308.72,1307.49,1.23,0,1308.72,1307.49
7.5023,1286,1302.95,1301.72,1.23,0,1302.95,1301.72
7.5534,1334,1297.34,1296.1,1.24,0,1297.34,1296.1
7.6046,1261,1291.86,1290.61,1.25,0,1291.86,1290.61
7.6558,1243,1286.5,1285.25,1.26,0,1286.51,1285.25
7.7069,1311,1281.27,1280.01,1.26,0,1281.27,1280.01
7.7581,1231,1276.15,1274.88,1.27,0,1276.15,1274.88
7.8092,1288,1271.13,1269.85,1.28,0,1271.13,1269.85
7.8604,1308,1266.21,1264.92,1.29,0,1266.21,1264.92
7.9116,1285,1261.37,1260.08,1.29,0,1261.37,1260.08
7.9627,1230,1256.62,1255.32,1.3,0,1256.62,1255.32
8.0139,1191,1251.93,1250.62,1.31,0,1251.93,1250.62
8.065,1264,1247.32,1246,1.32,0,1247.32,1246
8.1162,1273,1242.76,1241.43,1.32,0,1242.75,1241.43
8.1674,1184,1238.25,1236.92,1.33,0,1238.25,1236.92
8.2185,1190,1233.79,1232.45,1.34,0,1233.79,1232.45
8.2697,1156,1229.37,1228.03,1.35,0,1229.38,1228.03
8.3209,1184,1224.99,1223.63,1.36,0,1224.99,1223.63
8.372,1232,1220.64,1219.27,1.36,0,1220.63,1219.27
8.4232,1200,1216.31,1214.93,1.37,0,1216.3,1214.93
8.4743,1156,1212,1210.62,1.38,0,1212,1210.62
8.5255,1125,1207.7,1206.32,1.39,0,1207.71,1206.32
8.5767,1190,1203.42,1202.02,1.4,0,1203.42,1202.02
8.6278,1233,1199.15,1197.74,1.4,0,1199.14,1197.74
8.679,1136,1194.87,1193.46,1.41,0,1194.87,1193.46
8.7301,1210,1190.6,1189.18,1.42,0,1190.6,1189.18
8.7813,1228,1186.33,1184.9,1.43,0,1186.33,1184.9
8.8325,1186,1182.05,1180.61,1.44,0,1182.05,1180.61
8.8836,1222,1177.76,1176.31,1.45,0,1177.76,1176.31
8.9348,1113,1173.46,1172.01,1.46,0,1173.47,1172.01
8.9859,1162,1169.15,1167.68,1.46,0,1169.14,1167.68
9.0371,1223,1164.82,1163.35,1.47,0,1164.82,1163.35
9.0883,1115,1160.48,1158.99,1.48,0,1160.47,1158.99
9.1394,1139,1156.11,1154.62,1.49,0,1156.11,1154.62
9.1906,1225,1151.73,1150.23,1.5,0,1151.73,1150.23
9.2417,1160,1147.32,1145.81,1.51,0,1147.32,1145.81
9.2929,1166,1142.89,1141.37,1.52,0,1142.89,1141.37
9.3441,1112,1138.44,1136.91,1.53,0,1138.44,1136.91
9.3952,1153,1133.97,1132.43,1.54,0,1133.97,1132.43
9.4464,1099,1129.46,1127.92,1.55,0,1129.47,1127.92
9.4976,1086,1124.94,1123.38,1.56,0,1124.94,1123.38
9.5487,1142,1120.38,1118.82,1.57,0,1120.39,1118.82
9.5999,1075,1115.81,1114.23,1.58,0,1115.81,1114.23
9.651,1162,1111.2,1109.61,1.59,0,1111.2,1109.61
9.7022,1094,1106.57,1104.97,1.6,0,1106.57,1104.97
9.7534,1148,1101.92,1100.31,1.61,0,1101.92,1100.31
9.8045,1064,1097.23,1095.61,1.62,0,1097.23,1095.61
9.8557,1100,1092.53,1090.9,1.63,0,1092.53,1090.9
9.9068,1061,1087.8,1086.15,1.64,0,1087.79,1086.15
9.958,1032,1083.04,1081.39,1.65,0,1083.04,1081.39
10.0092,1092,1078.26,1076.6,1.66,0,1078.26,1076.6
10.0603,1081,1073.46,1071.79,1.67,0,1073.46,1071.79
10.1115,1078,1068.64,1066.95,1.68,0,1068.63,1066.95
10.1626,1085,1063.79,1062.1,1.7,0,1063.8,1062.1
10.2138,1067,1058.93,1057.22,1.71,0,1058.93,1057.22
10.265,1069,1054.04,1052.32,1.72,0,1054.04,1052.32
10.3161,979,1049.14,1047.41,1.73,0,1049.14,1047.41
10.3673,1048,1044.22,1042.48,1.74,0,1044.22,1042.48
10.4185,1022,1039.29,1037.53,1.75,0,1039.28,1037.53
10.4696,1068,1034.34,1032.57,1.77,0,1034.34,1032.57
10.5208,1050,1029.38,1027.6,1.78,0,1029.38,1027.6
10.5719,1073,1024.4,1022.61,1.79,0,1024.4,1022.61
10.6231,1010,1019.42,1017.61,1.8,0,1019.41,1017.61
10.6743,1091,1014.42,1012.61,1.81,0,1014.42,1012.61
10.7254,1000,1009.42,1007.59,1.83,0,1009.42,1007.59
