Sample,Mineral,Content (%),ESD
SP40,Calcite (CaCo3),0.102,0.002
SP40,Quartz (SiO2),0.898,0.002
SP7,Quartz (SiO2),0.999,0.001
SP7,Dolomite (CaMg(CO3)2),0.001,0.001
SP10,Quartz (SiO2),0.987,0.002
SP10,Calcite (CaCo3),0.013,0.002
SP14,Dolomite (CaMg(CO3)2),0.028,0.002
SP14,Halite (NaCl),0.003,0.001
SP14,Quartz (SiO2),0.968,0.002
SP15,Dolomite (CaMg(CO3)2),0.024,0.002
SP15,Quartz (SiO2),0.976,0.002
SP18,Dolomite (CaMg(CO3)2),0.034,0.003
SP18,Halite (NaCl),0.002,0
SP18,Quartz (SiO2),0.964,0.003
SP21,Quartz (SiO2),1,0
SP28,Dolomite (CaMg(CO3)2),0.023,0.002
SP28,Quartz (SiO2),0.977,0.002
SP30,Dolomite (CaMg(CO3)2),0.021,0.002
SP30,Quartz (SiO2),0.979,0.002
SP33,Dolomite (CaMg(CO3)2),0.021,0.002
SP33,Quartz (SiO2),0.979,0.002
SP34,Quartz (SiO2),1,0
SP50,Quartz (SiO2),1,0
SP52,Calcite (CaCo3),0.012,0.001
SP52,Dolomite (CaMg(CO3)2),0.002,0.001
SP52,Quartz (SiO2),0.986,0.002
SP57,Calcite (CaCo3),0.395,0.003
SP57,Quartz (SiO2),0.605,0.003
SP58,Calcite (CaCo3),0.17,0.002
SP58,Quartz (SiO2),0.83,0.002
SP59,Calcite (CaCo3),0.325,0.003
SP59,Quartz (SiO2),0.675,0.003
SP61,Quartz (SiO2),0.994,0.001
SP61,Calcite (CaCo3),0.006,0.001
SP62,Quartz (SiO2),1,0
SP63,Quartz (SiO2),1,0
SP66,Quartz (SiO2),1,0
SP69,Calcite (CaCo3),0.08,0.003
SP69,Quartz (SiO2),0.92,0.003
SP6,Dolomite (CaMg(CO3)2),0.108,0.007
SP6,Quartz (SiO2),0.892,0.007
