Sample,Phase,Angle,Intensity,d
SP40,SiO2,20.8991,7716,4.25
SP40,SiO2,26.6648,44024,3.34
SP40,Calcite,29.4725,3455.7,3.03
SP40,SiO2,36.592,2277,
SP40,SiO2,39.4999,3222,2.28
SP40,SiO2,42.458,1855.65,
SP40,SiO2,50.1792,3611,1.82
SP40,SiO2,59.9559,2097.75,1.54
SP40,SiO2,68.1784,2473.14,1.38
SP40,Calcite,43.2101,758,
SP40,Calcite,47.572,755.67,
SP40,Calcite,48.5748,795.25,
SP40,SiO2,54.892,1598.34,
SP40,SiO2,45.8172,1429.5,
SP40,Calcite,35.9903,766,
SP7,SiO2,20.8553,10840,4.26
SP7,SiO2,26.6365,57590,3.35
SP7,SiO2,36.5618,3207,
SP7,SiO2,39.4779,3866,2.28
SP7,SiO2,40.2965,1648,
SP7,SiO2,42.4453,2553.28,
SP7,SiO2,45.8219,1897.08,
SP7,SiO2,50.1706,5346,1.82
SP7,SiO2,54.8774,2129.12,
SP7,SiO2,59.9935,3014,1.54
SP7,SiO2,68.3328,3586.49,1.37
SP7,Dolomite,41.3709,440.09,2.18
SP7,Dolomite,30.934,638.77,2.89
SP10,SiO2,20.8489,9315,4.26
SP10,SiO2,26.6648,49969,3.34
SP10,Calcite,29.4224,985,3.04
SP10,SiO2,36.5418,2589,
SP10,SiO2,39.4999,3223,2.28
SP10,SiO2,40.3021,1412.22,
SP10,SiO2,42.458,2127.71,
SP10,SiO2,45.7671,1628.34,
SP10,SiO2,50.129,4341,1.82
SP10,SiO2,54.8419,1789,
SP10,SiO2,59.9559,2555.74,1.54
SP10,SiO2,68.2787,3050.2,1.37
SP14,SiO2,20.8489,7595,4.26
SP14,SiO2,26.6648,45539,3.34
SP14,Dolomite,30.9766,1211,2.89
SP14,Halite,31.7287,792.92,2.82
SP14,SiO2,36.592,2301,
SP14,SiO2,39.4999,2922,2.28
SP14,SiO2,40.3021,1251,
SP14,Dolomite,41.1545,600,2.19
SP14,SiO2,42.458,1860.14,
SP14,Halite,45.4663,685,2
SP14,SiO2,45.8172,1439.19,
SP14,SiO2,50.1792,3738,1.82
SP14,SiO2,54.892,1677.08,
SP14,SiO2,60.0562,1998.65,1.54
SP14,SiO2,68.3288,2759.59,1.37
SP6,SiO2,20.8489,10759,4.26
SP6,SiO2,26.6648,55637,3.34
SP6,Dolomite,30.9265,2282,2.89
SP6,SiO2,36.592,2960,
SP6,SiO2,39.4999,3378,2.28
SP6,SiO2,40.3021,1512,
SP6,Dolomite,41.1545,845,2.19
SP6,SiO2,42.458,2371,
SP6,SiO2,45.8172,1587,
SP6,SiO2,50.129,4892.01,1.82
SP6,SiO2,54.892,2990.45,
SP6,SiO2,59.9559,3595.1,1.54
SP6,SiO2,68.3288,4629.81,1.37
SP15,SiO2,20.8553,8838,4.26
SP15,SiO2,26.6365,49414,3.35
SP15,Dolomite,30.9852,1147,2.89
SP15,SiO2,36.5618,2692,
SP15,SiO2,39.4779,3310,2.28
SP15,SiO2,40.2965,1467,
SP15,Dolomite,41.1662,602,2.19
SP15,SiO2,42.4453,2123.47,
SP15,SiO2,45.8219,1672.14,
SP15,SiO2,50.1706,4545,1.82
SP15,SiO2,54.8774,1805.47,
SP15,SiO2,59.9935,2540.34,1.54
SP15,SiO2,68.1793,3205.23,1.38
SP18,SiO2,20.8489,9434,4.26
SP18,SiO2,26.6648,53522,3.34
SP18,Dolomite,30.9766,2013,2.89
SP18,SiO2,36.5418,2686,
SP18,SiO2,39.4999,3376,2.28
SP18,SiO2,40.3021,1470,
SP18,Dolomite,41.1545,785,2.19
SP18,SiO2,42.458,2262.08,
SP18,SiO2,45.8172,1648.85,
SP18,SiO2,50.1792,4379,1.82
SP18,SiO2,54.892,1901.28,
SP18,SiO2,59.9559,2660.67,1.54
SP18,SiO2,68.3288,3089.33,1.37
SP18,Halite,31.7287,749,2.82
SP21,SiO2,20.8991,8396,4.25
SP21,SiO2,26.6648,48660,3.34
SP21,SiO2,36.592,2448,
SP21,SiO2,39.4999,3127,2.28
SP21,SiO2,40.3523,1395,
SP21,SiO2,42.458,2028.5,
SP21,SiO2,45.8172,1589.65,
SP21,SiO2,50.1792,4185,1.82
SP21,SiO2,54.892,1755.21,
SP21,SiO2,60.006,2385.08,
SP21,SiO2,68.3288,2958.25,1.37
SP28,SiO2,20.8489,9372,4.26
SP28,SiO2,26.6648,54181,3.34
SP28,Dolomite,30.9766,1395,2.89
SP28,SiO2,36.5418,2713,
SP28,SiO2,39.4999,3390,2.28
SP28,SiO2,40.3021,1496,
SP28,Dolomite,41.1545,596,2.19
SP28,SiO2,42.458,2126,
